child_dgroup_id,parent_type,parent_id,parent_label,child_name
DG01720,dgroup,DG01678,Nitrogen mustard analog,Isophosphoramide mustard analog
DG01721,dgroup,DG01677,Alkylating agent,Methanesulfonate derivative
DG01722,dgroup,DG01677,Alkylating agent,Thiotepa type ethylene imine
DG01722,dgroup,DG01723,Ethylene imine,Thiotepa type ethylene imine
DG01723,dgroup,DG01677,Alkylating agent,Ethylene imine
DG01724,dgroup,DG01677,Alkylating agent,Nitrosourea
DG01725,dgroup,DG01677,Alkylating agent,Epoxide
DG01726,dgroup,DG01682,Anthracycline antineoplastic,Aldoxorubicin
DG01727,root,Antineoplastic,Antineoplastic,Anthraquinone antineoplastic
DG01728,root,Neuropsychiatric agent,Neuropsychiatric agent,Tricyclic antidepressant
DG01729,root,Neuropsychiatric agent,Neuropsychiatric agent,Tetracyclic antidepressant
DG01730,root,Neuropsychiatric agent,Neuropsychiatric agent,Non-selective monoamine reuptake inhibitor
DG01732,dgroup,DG01685,Insulin sensitizer,Non-thiazolidinedione type PPAR agonist
DG01732,dgroup,DG01795,PPAR gamma agonist,Non-thiazolidinedione type PPAR agonist
DG01733,dgroup,DG01946,Hypolipidemic agent,PPAR alpha agonist
DG01734,dgroup,DG01508,Sulfonylurea receptor agonist,Sulfonylurea
DG01734,dgroup,DG02044,Hypoglycemic agent,Sulfonylurea
DG01735,dgroup,DG01508,Sulfonylurea receptor agonist,Glinide
DG01735,dgroup,DG02044,Hypoglycemic agent,Glinide
DG01736,dgroup,DG01692,Chelator,Deferitazole
DG01736,dgroup,DG01691,Iron chelator,Deferitazole
DG01737,dgroup,DG01738,Centrally-acting antiadrenergic,Rauwolfia alkaloid
DG01738,root,Cardiovascular agent,Cardiovascular agent,Centrally-acting antiadrenergic
DG01739,root,Cardiovascular agent,Cardiovascular agent,Peripherally-acting antiadrenergic
DG01740,root,Musculo-skeletal system agent,Musculo-skeletal system agent,Curare alkaloid
DG01741,dgroup,DG01703,Cardiotonic,Scilla glycoside
DG01741,dgroup,DG01698,Cardiac glycoside,Scilla glycoside
DG01742,root,Musculo-skeletal system agent,Musculo-skeletal system agent,Quaternary ammonium compound type muscle relaxant
DG01743,dgroup,DG01703,Cardiotonic,Strophantus glycoside
DG01743,dgroup,DG01698,Cardiac glycoside,Strophantus glycoside
DG01745,dgroup,DG01491,Muscarinic cholinergic receptor antagonist,Anticholinergic antiparkinson agent
DG01746,dgroup,DG01690,Sulfonamide diuretic,Piretanide type diuretic
DG01746,dgroup,DG01748,Loop diuretic,Piretanide type diuretic
DG01747,dgroup,DG01690,Sulfonamide diuretic,Furosemide type diuretic
DG01747,dgroup,DG01748,Loop diuretic,Furosemide type diuretic
DG01748,root,Cardiovascular agent,Cardiovascular agent,Loop diuretic
DG01749,dgroup,DG03231,Antihypertensive,Thiazide diuretic
DG01749,dgroup,DG01690,Sulfonamide diuretic,Thiazide diuretic
DG01750,dgroup,DG01752,Interferone,Interferon alpha
DG01751,dgroup,DG01752,Interferone,Interferon beta
DG01752,root,Immunological agent,Immunological agent,Interferone
