source_type,source_id,target_type,target_id,field
dgroup,DG00019,drug,D08495,MEMBER
dgroup,DG00019,dgroup,DG01975,CLASS
dgroup,DG00019,dgroup,DG01481,CLASS
dgroup,DG00020,drug,D00455,MEMBER
dgroup,DG00020,drug,D01207,MEMBER
dgroup,DG00020,drug,D05261,MEMBER
dgroup,DG00020,drug,D05259,MEMBER
dgroup,DG00020,dgroup,DG01975,CLASS
dgroup,DG00020,dgroup,DG01646,CLASS
dgroup,DG00020,dgroup,DG01639,CLASS
dgroup,DG00020,dgroup,DG01633,CLASS
dgroup,DG00020,dgroup,DG02913,CLASS
dgroup,DG00021,drug,D05353,MEMBER
dgroup,DG00021,drug,D02593,MEMBER
dgroup,DG00021,dgroup,DG01975,CLASS
dgroup,DG00021,dgroup,DG01646,CLASS
dgroup,DG00021,dgroup,DG01639,CLASS
dgroup,DG00021,dgroup,DG01633,CLASS
dgroup,DG00021,dgroup,DG02913,CLASS
dgroup,DG00022,drug,D08463,MEMBER
dgroup,DG00022,drug,D00724,MEMBER
dgroup,DG00022,dgroup,DG01975,CLASS
dgroup,DG00022,dgroup,DG01646,CLASS
dgroup,DG00022,dgroup,DG01639,CLASS
dgroup,DG00022,dgroup,DG01633,CLASS
dgroup,DG00022,dgroup,DG02913,CLASS
dgroup,DG00023,drug,D07917,MEMBER
dgroup,DG00023,drug,D01984,MEMBER
dgroup,DG00023,drug,D04056,MEMBER
dgroup,DG00023,drug,D09339,MEMBER
dgroup,DG00023,drug,D10120,MEMBER
dgroup,DG00023,drug,D11114,MEMBER
dgroup,DG00023,dgroup,DG01975,CLASS
dgroup,DG00023,dgroup,DG01646,CLASS
dgroup,DG00023,dgroup,DG01639,CLASS
dgroup,DG00023,dgroup,DG01633,CLASS
dgroup,DG00023,dgroup,DG02913,CLASS
dgroup,DG00024,drug,D07615,MEMBER
dgroup,DG00024,drug,D01899,MEMBER
dgroup,DG00025,drug,D00446,MEMBER
dgroup,DG00025,dgroup,DG01975,CLASS
dgroup,DG00025,dgroup,DG02008,CLASS
dgroup,DG00026,drug,D08389,MEMBER
dgroup,DG00026,drug,D01297,MEMBER
dgroup,DG00026,drug,D05276,MEMBER
dgroup,DG00026,dgroup,DG01491,CLASS
dgroup,DG00026,dgroup,DG01975,CLASS
dgroup,DG00027,drug,D07587,MEMBER
dgroup,DG00027,drug,D09739,MEMBER
dgroup,DG00028,drug,D02324,MEMBER
dgroup,DG00028,drug,D03336,MEMBER
dgroup,DG00028,drug,D08977,MEMBER
dgroup,DG00028,dgroup,DG01975,CLASS
dgroup,DG00028,dgroup,DG02008,CLASS
dgroup,DG00029,drug,D08325,MEMBER
dgroup,DG00029,drug,D01006,MEMBER
dgroup,DG00029,dgroup,DG01491,CLASS
dgroup,DG00030,drug,D08160,MEMBER
dgroup,DG00030,drug,D04868,MEMBER
dgroup,DG00030,dgroup,DG01491,CLASS
dgroup,DG00031,drug,D08639,MEMBER
dgroup,DG00031,drug,D01500,MEMBER
dgroup,DG00031,dgroup,DG01587,CLASS
dgroup,DG00032,drug,D07820,MEMBER
dgroup,DG00032,drug,D00717,MEMBER
dgroup,DG00032,dgroup,DG01491,CLASS
dgroup,DG00033,drug,D07821,MEMBER
dgroup,DG00033,drug,D03824,MEMBER
dgroup,DG00033,dgroup,DG01491,CLASS
dgroup,DG00034,drug,D08382,MEMBER
dgroup,DG00034,drug,D01165,MEMBER
dgroup,DG00034,dgroup,DG01491,CLASS
dgroup,DG00034,dgroup,DG01975,CLASS
dgroup,DG00035,drug,D00481,MEMBER
dgroup,DG00035,dgroup,DG01491,CLASS
dgroup,DG00035,dgroup,DG01975,CLASS
dgroup,DG00036,drug,D00721,MEMBER
dgroup,DG00036,dgroup,DG01491,CLASS
dgroup,DG00037,drug,D00723,MEMBER
dgroup,DG00037,dgroup,DG01491,CLASS
dgroup,DG00038,drug,D01005,MEMBER
dgroup,DG00038,dgroup,DG01491,CLASS
dgroup,DG00039,drug,D01003,MEMBER
dgroup,DG00039,dgroup,DG01491,CLASS
dgroup,DG00040,drug,D00720,MEMBER
dgroup,DG00040,dgroup,DG01491,CLASS
dgroup,DG00041,drug,D02535,MEMBER
dgroup,DG00041,dgroup,DG01491,CLASS
dgroup,DG00041,dgroup,DG01975,CLASS
dgroup,DG00042,drug,D07087,MEMBER
dgroup,DG00042,drug,D08608,MEMBER
dgroup,DG00043,drug,D07425,MEMBER
dgroup,DG00043,drug,D02218,MEMBER
dgroup,DG00043,drug,D07439,MEMBER
dgroup,DG00044,drug,D07088,MEMBER
dgroup,DG00044,drug,D07879,MEMBER
dgroup,DG00045,drug,D07089,MEMBER
dgroup,DG00045,drug,D08238,MEMBER
dgroup,DG00046,drug,D07129,MEMBER
dgroup,DG00046,drug,D02829,MEMBER
dgroup,DG00046,dgroup,DG01489,CLASS
dgroup,DG00046,dgroup,DG01892,CLASS
dgroup,DG00046,dgroup,DG01642,CLASS
dgroup,DG00046,dgroup,DG01633,CLASS
dgroup,DG00046,dgroup,DG02913,CLASS
dgroup,DG00047,drug,D03495,MEMBER
dgroup,DG00047,drug,D03496,MEMBER
dgroup,DG00047,dgroup,DG01489,CLASS
dgroup,DG00048,drug,D05644,MEMBER
dgroup,DG00048,drug,D01650,MEMBER
dgroup,DG00049,drug,D07440,MEMBER
dgroup,DG00049,drug,D02877,MEMBER
dgroup,DG00050,drug,D00152,MEMBER
dgroup,DG00050,drug,D08369,MEMBER
dgroup,DG00050,dgroup,DG01497,CLASS
dgroup,DG00051,drug,D06521,MEMBER
dgroup,DG00051,drug,D06522,MEMBER
dgroup,DG00052,drug,D00113,MEMBER
