entry_id,name,type,class,member_count,member_ids,atc_codes,comment
DG01892,CYP1A2 substrate,Metabolism,Metabolizing enzyme substrate,114,D07129;D02829;D00456;D00678;D07175;D05343;D07945;D04148;D07729;D00769;D10823;D10824;D10513;D00358;D02086;D08127;D08215;D00639;D08435;D00640;D08443;D00483;D00255;D03415;D02375;D02219;D07875;D00814;D00528;D01453;D07603;D00210;D08287;D04859;D07907;D04023;D09666;D10024;D07455;D02933;D10255;D11817;D01583;D08976;D11576;D08611;D00776;D02347;D02274;D08490;D04048;D08116;D01287;D02740;D08255;D00674;D00415;D05928;D08489;D00784;D05768;D08469;D02562;D10829;D02340;D00794;D08148;D00283;D00454;D06623;D11769;D02995;D08690;D00706;D08170;D02689;D09388;D00514;D01205;D08070;D00815;D08071;D07727;D00811;D07448;D00809;D08216;D01358;D00563;D11056;D07880;D01179;D08555;D02068;D00775;D08575;D10687;D02017;D00371;D01712;D06103;D06104;D00227;D05429;D11630;D05744;D08466;D02016;D08508;D01624;D04052;D04813;D11553;D11851,,
DG01893,ABCB1 inducer,Metabolism,Transporter inducer,11,D00211;D08479;D11012;D11040;D00512;D02103;D07993;D02096;D07595;D07583;D00252,,
DG01894,Evatanepag,Chemical,,2,D09613;D09614,,
DG01895,Taprenepag,Chemical,,2,D09968;D09969,,
DG01896,Nafamostat,Chemical,Blood modifier agent DG01950  Antithrombotic agent DG02016  Hemostatics DG02012  Antifibrinolytic DG01990  Serine protease inhibitor,2,D08240;D01670,,
DG01898,"Anti-inflammatory drug, phenylacetic acid derivatives",Structure,"Anti-inflammatory DG01504  Nonsteroidal anti-inflammatory drug (NSAID) DG01906  Anti-inflammatory drug, acetic acid derivatives",19,D07816;D00903;D00904;D07817;D07818;D07819;D01252;D01545;D01344;D01675;D01841;D07541;D03163;D07443;D01788;D01189;D01963;D04142;D06143,,
DG01899,"Anti-inflammatory drug, indoleacetic acid derivatives",Structure,"Anti-inflammatory DG01504  Nonsteroidal anti-inflammatory drug (NSAID) DG01906  Anti-inflammatory drug, acetic acid derivatives",9,D00141;D01565;D02110;D01582;D07266;D08427;D01765;D05995;D06364,,
DG01901,Perampanel,Chemical,Neuropsychiatric agent DG03199  Antiepileptic agent DG01569  AMPA receptor antagonist Metabolizing enzyme substrate DG01633  CYP3A/CYP3A4 substrate,2,D08964;D10780,N03AX22,
DG01902,Pentamidine,Chemical,,2,D08333;D00834,P01CX01,
DG01903,Midecamycin,Chemical,Antibacterial DG01551  Macrolide antibiotic DG01876  16-Membered ring macrolide antibiotic Metabolizing enzyme inhibitor DG02852  CYP3A/CYP3A4 inhibitor DG01522  CYP3A4 inhibitor,2,D01339;D01636,J01FA03 J01FA11,
DG01904,Barbiturate antiepileptic Barbiturate anticonvulsant,"Structure, Class",Neuropsychiatric agent DG03199  Antiepileptic agent,8,D00700;D00506;D00701;D08356;D00474;D07298;D01382;D04077,,
DG01905,Phenothiazine antipsychotics,"Structure, Class",Neuropsychiatric agent DG03200  Antipsychotic agent,61,D00270;D00789;D03274;D04034;D09819;D00403;D01520;D02248;D08430;D00797;D07065;D02604;D00390;D00800;D07307;D07756;D07308;D07685;D07865;D07977;D00791;D00792;D00793;D02163;D00503;D02037;D04038;D04965;D08341;D08342;D00493;D00479;D02022;D02609;D09216;D08636;D00799;D01448;D00788;D08585;D01447;D02642;D02643;D01412;D01860;D02608;D01485;D00373;D00798;D02671;D00795;D08385;D02680;D02354;D01130;D02610;D02605;D02607;D02644;D02653;D02679,,
DG01906,"Anti-inflammatory drug, acetic acid derivatives",Structure,Anti-inflammatory DG01504  Nonsteroidal anti-inflammatory drug (NSAID),58,D07816;D00903;D00904;D07817;D07818;D07819;D01252;D01545;D01344;D01675;D01841;D07541;D03163;D07443;D01788;D01189;D01963;D04142;D06143;D00141;D01565;D02110;D01582;D07266;D08427;D01765;D05995;D06364;D00120;D02355;D00158;D06382;D07264;D07549;D00315;D07265;D08142;D01975;D08104;D00813;D01271;D01594;D07503;D05143;D01330;D01718;D02944;D03560;D03727;D04144;D04638;D05404;D05619;D05830;D06156;D07453;D07888;D08021,,
DG01907,"Anti-inflammatory drug, coxibs","Target, Class",Anti-inflammatory DG01504  Nonsteroidal anti-inflammatory drug (NSAID) DG01922  Selective COX2 inhibitor,13,D00567;D00568;D02709;D03716;D03717;D03710;D03714;D10656;D01974;D03689;D03712;D04863;D08657,,
DG01908,"Anti-inflammatory drug, propionic acid derivatives",Structure,Anti-inflammatory DG01504  Nonsteroidal anti-inflammatory drug (NSAID),51,D00126;D01122;D04490;D06606;D08058;D08059;D09760;D00118;D00970;D10017;D00132;D08102;D08103;D02350;D00968;D01344;D03080;D00452;D05515;D00330;D01475;D02290;D10254;D04530;D01325;D00463;D07268;D03715;D03718;D07219;D01513;D07269;D09568;D08374;D08375;D08149;D01709;D07141;D01578;D01185;D01547;D01851;D01865;D01874;D03410;D03489;D03540;D04273;D04277;D05121;D08153,,
DG01909,"Anti-inflammatory drug, salicylic acid derivatives",Structure,Anti-inflammatory DG01504  Nonsteroidal anti-inflammatory drug (NSAID),40,D00109;D05181;D07579;D07580;D07581;D07582;D07421;D00810;D00566;D01811;D00428;D01466;D07290;D07291;D00130;D07292;D03385;D07293;D00448;D00377;D08295;D00727;D07488;D02715;D08501;D01087;D08586;D00971;D00827;D01557;D04145;D04206;D05788;D05998;D05791;D07824;D07991;D05789;D05793;D07612,,
DG01910,"Anti-inflammatory drug, oxicams",Structure,Anti-inflammatory DG01504  Nonsteroidal anti-inflammatory drug (NSAID),13,D00127;D05511;D05512;D05513;D01767;D07267;D01866;D00969;D01397;D04003;D04639;D05937;D06082,,
DG01911,"Anti-inflammatory drug, fenamic acid derivatives Anti-inflammatory drug, anthranilic acid derivatives",Structure,Anti-inflammatory DG01504  Nonsteroidal anti-inflammatory drug (NSAID),10,D00151;D01183;D01581;D01823;D03254;D02341;D00169;D08162;D04102;D01267,,
DG01912,Gold preparations,Structure,Anti-inflammatory DG01985  Disease modifying anti-rheumatic drug (DMARD),5,D00992;D08521;D00237;D00991;D07478,,
DG01913,ABCG2 substrate,Metabolism,Transporter substrate,39,D00448;D10588;D10459;D07086;D03213;D10593;D11673;D11674;D09572;D05246;D01204;D07474;D00887;D02258;D11095;D08492;D01915;D10428;D10605;D10366;D10578;D10582;D10745;D10827;D11014;D10882;D08618;D02168;D08224;D02166;D08108;D04024;D10138;D10137;D10308;D10734;D10707;D10708;D11520,,
DG01914,"Anxiolytics, benzodiazepine derivatives","Structure, Class",Neuropsychiatric agent,36,D00293;D00267;D00693;D01292;D04882;D00464;D00694;D03562;D00365;D02770;D02771;D01245;D01253;D04650;D00470;D00225;D00338;D07314;D07315;D08283;D01354;D01293;D01514;D01328;D01268;D01254;D03083;D01316;D01278;D01279;D01286;D03737;D04721;D05942;D06231;D07784,N05BA,
DG01915,CYP3A5 inhibitor,Metabolism,Metabolizing enzyme inhibitor,3,D09012;D04641;D08837,,
DG01916,Amuvatinib,Chemical,Antineoplastic DG01918  Tyrosine kinase inhibitor,2,D09864;D09865,,
DG01917,Receptor tyrosine kinase inhibitor,Target,Antineoplastic DG01918  Tyrosine kinase inhibitor,119,D01977;D07907;D04023;D09724;D09733;D10766;D10858;D10859;D11115;D09883;D10514;D11251;D11980;D12245;D12258;D12259;D03455;D05350;D10018;D11894;D12457;D12506;D08108;D04024;D08950;D10898;D11141;D12442;D03257;D05446;D09980;D11529;D11375;D10446;D11560;D03218;D08881;D08883;D09683;D10190;D10927;D11417;D11589;D11611;D11725;D12001;D11969;D08552;D06402;D05380;D06407;D10138;D10137;D10229;D10062;D10095;D09919;D09920;D05029;D09955;D09956;D11137;D11138;D10709;D10800;D10696;D10891;D11279;D11353;D11717;D11073;D06678;D08947;D09689;D09690;D10102;D10103;D08503;D08544;D10224;D10465;D09589;D08878;D11288;D11289;D11430;D11434;D11140;D11541;D11732;D11733;D11772;D11773;D10958;D10886;D12404;D12405;D03350;D04025;D04696;D05399;D05819;D06005;D06285;D08907;D09618;D09635;D09945;D10173;D10862;D11136;D11139;D11368;D11438;D11461;D11737;D12432;D12540;D12557,,
