entry_id,name,formula,mol_weight,atc_codes,dgroup_id,compound_id,therapeutic_category,efficacy,cas,pubchem,chebi
D02408,Trimipramine maleate (JAN/USP); Surmontil (TN),C20H26N2. C4H4O4,410.506,N06AA06,DG00931,C14029,1174,"Antidepressant, Serotonin-noradrenaline reuptake inhibitor (SNRI)",521-78-8,7849466,35030
D02409,Caffeine and sodium benzoate (JP18); Sodium caffeine benzoate; Annaca (TN),C8H10N4O2. C7H5O2. Na,338.2938,V04CG30,,C13403,2115,Stimulant (central),8000-95-1,7849467,32140
D02410,Selfotel (USAN/INN),C7H14NO5P,223.1635,,,C13735,,NMDA receptor antagonist,110347-85-8,7849468,34973
D02411,Potassium sorbate (NF),C6H7O2. K,150.2169,,,,,Pharmaceutic aid (antimicrobial preservative),24634-61-5,7849469,77868
D02412,Ascorbyl palmitate (NF),C22H38O7,414.5329,,,,,Pharmaceutic aid (antioxidant),137-66-6,7849470,140768
D02413,Butylated hydroxytoluene (NF),C15H24O,220.3505,,,C14693,,Pharmaceutic aid (antioxidant),128-37-0,7849471,34247
D02414,Oxyquinoline sulfate (NF),(C9H7NO)2. H2SO4,388.3944,A01AB07 D08AH03 G01AC30 R02AA14,DG00002,C18478,,Disinfectant,134-31-6,7849472,81774
D02415,Apalcillin sodium (USAN),C25H22N5O6S. Na,543.5268,,,,,"Antibacterial, Cell wall biosynthesis inhibitor",58795-03-2,7849473,51697
D02416,"Aluminum hydroxide (USP); Aluminum hydroxide, dried (USP); Dried aluminum hydroxide gel (JP18); ALterna GEL (TN); Dialume (TN)",AlH3O3,78.0036,A02AB01,,C13391,2343,Antacid,21645-51-2,7849474,
D02417,Flutropium bromide (JAN); Flutropium bromide monohydrate; Flubron (TN),C24H29FNO3. Br. H2O,496.4096,,,,,"Bronchodilator, Muscarinic acetylcholine receptor antagonist",,7849475,31630
D02418,Physostigmine salicylate (JAN/USP); Antilirium (TN),C15H21N3O2. C7H6O3,413.4669,S01EB05 V03AB19,DG01132,,,Acetylcholinesterase inhibitor (ophthalmic),57-64-7,7849476,48883
D02419,Diphenhydramine salicylate (JAN),C17H21NO. C7H6O3,393.4755,D04AA32 R06AA02,DG00390,C14015,,"Antiallergic, Antivertigo, H1 receptor antagonist",7491-10-3,7849477,34720 4636
D02420,Acetylspiramycin (JP18); Spiramycin II; Acetylspiramycin (TN),C45H76N2O15,885.0893,J01FA02,DG00602,C12891,6142,"Antibiotic, Protein biosynthesis inhibitor",24916-51-6,7849478,31168
D02423,Sodium trimetaphosphate (USAN),P3O9. 3Na,305.8852,,,,,Pharmaceutic aid,7785-84-4,7849481,
