gene_symbol,ko_id,variant_entry_count,variant_phenotypes,linked_disease_count,linked_disease_names,linked_drug_target_count,linked_drug_target_names,linked_network_count
WRN,K10900,1,WRN mutation,2,Defects in RecQ helicases; Werner syndrome,0,,0
XRCC2,K10879,1,XRCC2 mutation,2,Fanconi anemia; Premature ovarian failure,0,,0
XRCC3,K10880,1,XRCC3 mutaton,2,Breast cancer; Melanoma,0,,0
ABL1,K06619,2,BCR-ABL1 fusion; First generation TKI-resistant ABL1 mutation,1,Chronic myeloid leukemia,8,Imatinib mesylate (USAN); Nilotinib hydrochloride hydrate (JAN); Dasatinib (USAN); Bosutinib hydrate (JAN); Ponatinib hydrochloride (JAN/USAN); Asciminib hydrochloride (JAN/USAN); Olverembatinib (USAN/INN); Nilotinib hydrochloride dihydrate (JAN),0
ALK,K05119,2,EML4-ALK fusion; First generation TKI-resistant ALK1 mutation,1,Non-small cell lung cancer,5,Crizotinib (JAN/USAN/INN); Alectinib hydrochloride (JAN); Ceritinib (JAN/USAN/INN); Brigatinib (JAN/USAN); Lorlatinib (JAN/USAN/INN),0
AR,K08557,2,AR amplification; AR mutation,1,Prostate cancer,0,,0
FLT3,K05092,2,FLT3 internal tandem duplication (ITD); FLT3 kinase domain mutation,1,Acute myeloid leukemia,5,Midostaurin (JAN/USAN/INN); Quizartinib dihydrochloride (USAN); Gilteritinib fumarate (JAN/USAN); Pexidartinib (USAN/INN); Pexidartinib hydrochloride (JAN/USAN),0
GLA,K01189,2,"GLA deficiency; GLA mutation, migalastat amenable",1,Fabry disease,3,Agalsidase alfa (USAN/INN); Agalsidase beta (INN); Migalastat hydrochloride (JAN/USAN),0
IDH2,K00031,2,IDH2 mutation,1,D-2-hydroxyglutaric aciduria,1,Enasidenib mesylate (USAN),0
ITPR1,K04958,2,ITPR1 activating mutation; ITPR1 reduced expression,1,Spinocerebellar ataxia (SCA),0,,0
PDGFRA,K04363,2,PDGFRA amplification; PDGFRA avapritinib-susceptible variation,1,Glioma,1,Avapritinib (USAN/INN),0
PRKCG,K19663,2,PRKCG activating mutation; PRKCG inactivating mutation,1,Spinocerebellar ataxia (SCA),0,,0
PRNP,K05634,2,PRNP oligomeric conformation; PRNP scrapie conformation,1,Prion disease,0,,0
VHL,K03871,2,VHL loss; VHL mutation,1,Renal cell carcinoma,0,,0
ACAD8,K11538,1,ACAD8 deficiency,1,Isobutyryl-CoA dehydrogenase deficiency,0,,0
ACADM,K00249,1,ACADM deficiency,1,MCAD deficiency,0,,0
ACADS,K00248,1,ACADS deficiency,1,SCAD deficiency,0,,0
ACADSB,K09478,1,ACADSB deficiency,1,SBCAD deficiency,0,,0
ACADVL,K09479,1,ACADVL deficiency,1,VLCAD deficiency,0,,0
ACD,K11114,1,ACD mutation,1,Dyskeratosis congenita,0,,0
ACO2,K01681,1,ACO2 mutation,1,Infantile cerebellar-retinal degeneration,0,,0
ACOX1,K00232,1,ACOX1 deficiency,1,Peroxisomal acyl-CoA oxidase deficiency,0,,0
ACOX2,K10214,1,ACOX2 deficiency,1,Congenital bile acid synthesis defect,0,,0
ACSL4,K01897,1,ACSL4 mutation,1,X-linked intellectual developmental disorder,0,,0
ACVR1,K04675,1,ACVR1 mutation,1,Fibrodysplasia ossificans progressiva,0,,0
ACVR2B,K13596,1,ACVR2B mutation,1,Heterotaxy,0,,0
ACVRL1,K13594,1,ACVRL1 mutation,1,Hereditary hemorrhagic telangiectasia,0,,0
ADAM17,K06059,1,ADAM17 mutation,1,Neonatal inflammatory skin and bowel disease,0,,0
ADPRS,K11687,1,ADPRS mutation,1,"Neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures",0,,0
AFF1,K15184,1,MLL-AF4 fusion,1,B-cell acute lymphoblastic leukemia,0,,0
AGL,K01196,1,AGL deficiency,1,Glycogen storage disease type III,0,,0
AKR1D1,K00251,1,AKR1D1 deficiency,1,Congenital bile acid synthesis defect,0,,0
ALAD,K01698,1,ALAD deficiency,1,Porphyria,0,,0
ALAS2,K00643,1,ALAS2 deficiency,1,Porphyria,0,,0
ALDH4A1,K00294,1,ALDH4A1 deficiency,1,Hyperprolinemia,0,,0
ALDH6A1,K00140,1,ALDH6A1 deficiency,1,Methylmalonate semialdehyde dehydrogenase deficiency,0,,0
ALDOA,K01623,1,ALDOA deficiency,1,Glycogen storage disease type XII,0,,0
ALG1,K03842,1,ALG1 deficiency,1,Congenital disorders of glycosylation type I,0,,0
ALG11,K03844,1,ALG11 deficiency,1,Congenital disorders of glycosylation type I,0,,0
ALG12,K03847,1,ALG12 deficiency,1,Congenital disorders of glycosylation type I,0,,0
ALG13,K07432,1,ALG13 deficiency,1,Congenital disorders of glycosylation type I,0,,0
ALG2,K03843,1,ALG2 deficiency,1,Congenital disorders of glycosylation type I,0,,0
ALG3,K03845,1,ALG3 deficiency,1,Congenital disorders of glycosylation type I,0,,0
ALG6,K03848,1,ALG6 deficiency,1,Congenital disorders of glycosylation type I,0,,0
ALG8,K03849,1,ALG8 deficiency,1,Congenital disorders of glycosylation type I,0,,0
ALG9,K03846,1,ALG9 deficiency,1,Congenital disorders of glycosylation type I,0,,0
AMH,K04665,1,AMH mutation,1,Persistent Mullerian duct syndrome,0,,0
AMHR2,K04672,1,AMHR2 mutation,1,Persistent Mullerian duct syndrome,0,,0
AMT,K00605,1,AMT deficiency,1,Nonketotic hyperglycinemia,0,,0
ANAPC1,K03348,1,ANAPC1 mutation,1,Rothmund-Thomson syndrome,0,,0
ANAPC7,K03354,1,ANAPC7 mutation,1,Ferguson-Bonni neurodevelopmental syndrome,0,,0
APOB,K14462,1,APOB mutation,1,Familial hypercholesterolemia,0,,0
APP,K04520,1,APP mutation,1,Alzheimer disease,0,,0
APRT,K00759,1,APRT deficiency,1,Adenine phosphoribosyltransferase deficiency,0,,0
APTX,K10863,1,APTX mutation,1,Ataxia with ocular apraxia,0,,0
AREG,K09782,1,AREG overexpression,1,Colorectal cancer,0,,0
ARG1,K01476,1,ARG1 deficiency,1,Hyperargininemia,1,Pegzilarginase (USAN/INN),0
ARSA,K01134,1,ARSA deficiency,1,Metachromatic leukodystrophy,0,,0
ARSB,K01135,1,ARSB deficiency,1,Mucopolysaccharidosis type VI,1,Galsulfase (USAN/INN),0
ASAH1,K12348,1,ASAH1 deficiency,1,Farber lipogranulomatosis,0,,0
ASL,K01755,1,ASL deficiency,1,Argininosuccinic aciduria,0,,0
ASS1,K01940,1,ASS deficiency,1,Citrullinemia,0,,0
ATF1,K09053,1,EWSR1-ATF1 fusion,1,Clear cell sarcoma of soft tissue,0,,0
ATP1A1,K01539,1,ATP1A1 mutation,1,Primary aldosteronism,0,,0
ATP2B3,K05850,1,ATP2B3 mutation,1,Primary aldosteronism,0,,0
ATXN1,K23616,1,ATXN1 mutation,1,Spinocerebellar ataxia (SCA),0,,0
ATXN2,K23625,1,ATXN2 mutation,1,Spinocerebellar ataxia (SCA),0,,0
ATXN3,K11863,1,ATXN3 mutation,1,Spinocerebellar ataxia (SCA),0,,0
AUH,K05607,1,AUH deficiency,1,3-Methylglutaconic aciduria,0,,0
AURKA,K11481,1,AURKA mutation,1,Colorectal cancer,0,,0
AVP,K05242,1,AVP mutation,1,Neurohypophyseal diabetes insipidus,0,,0
AVPR2,K04228,1,AVPR2 mutation,1,Nephrogenic syndrome of inappropriate antidiuresis,0,,0
AXIN1,K02157,1,AXIN1 mutation,1,Hepatocellular carcinoma,0,,0
AXIN2,K04385,1,AXIN2 mutation,1,Oligodontia-colorectal cancer syndrome,0,,0
B3GALNT2,K09654,1,B3GALNT2 deficiency,1,Muscular dystrophy-dystroglycanopathy type A,0,,0
B3GAT3,K10158,1,B3GAT3 mutation,1,"Multiple joint dislocations, short stature, craniofacial dysmorphism, and congenital heart defects",0,,0
B4GALT1,K07966,1,B4GALT1 deficiency,1,Congenital disorders of glycosylation type II,0,,0
B4GALT7,K00733,1,B4GALT7 mutation,1,"Ehlers-Danlos syndrome, spondylodysplastic type",0,,0
B4GAT1,K21032,1,B4GAT1 deficiency,1,Muscular dystrophy-dystroglycanopathy type A,0,,0
BARD1,K10683,1,BARD1 mutation,1,Breast cancer,0,,0
BAX,K02159,1,BAX mutation,1,Colorectal cancer,0,,0
BCKDHA,K00166,1,BCKDHA deficiency,1,Maple syrup urine disease,0,,0
BCKDHB,K00167,1,BCKDHB deficiency,1,Maple syrup urine disease,0,,0
BCL2,K02161,1,BCL2 overepression,1,Small cell lung cancer,1,Venetoclax (JAN/USAN/INN),0
BMP15,K05498,1,BMP15 mutation,1,Ovarian dysgenesis,0,,0
BMP2,K21283,1,BMP2 mutation,1,Brachydactyly,0,,0
BMPR2,K04671,1,BMPR2 mutation,1,Primary pulmonary hypertension,0,,0
C1QA,K03986,1,C1QA mutation,1,Classic complement pathway component defects,0,,0
C1QB,K03987,1,C1QB mutation,1,Classic complement pathway component defects,0,,0
C1QC,K03988,1,C1QC mutation,1,Classic complement pathway component defects,0,,0
C4A,K03989,1,C4A mutation,1,Classic complement pathway component defects,0,,0
C4B,K03989,1,C4B mutation,1,Classic complement pathway component defects,0,,0
C5,K03994,1,C5 mutation,1,Late complement pathway defects,0,,0
C6,K03995,1,C6 mutation,1,Late complement pathway defects,0,,0
C7,K03996,1,C7 mutation,1,Late complement pathway defects,0,,0
C8A,K03997,1,C8A mutation,1,Late complement pathway defects,0,,0
C8B,K03998,1,C8B mutation,1,Late complement pathway defects,0,,0
C9orf72,K23609,1,C9ORF72 mutation,1,Amyotrophic lateral sclerosis (ALS),0,,0
CACNA1A,K04344,1,CACNA1A mutation,1,Spinocerebellar ataxia (SCA),0,,0
CACNA1D,K04851,1,CACNA1D mutation,1,Primary aldosteronism,0,,0
CACNA1H,K04855,1,CACNA1H mutation,1,Primary aldosteronism,0,,0
CARD8,K12801,1,CARD8 mutation,1,Inflammatory bowel disease (IBD),0,,0
CASP10,K04400,1,CASP10 mutation,1,Autoimmune lymphoproliferative syndromes,0,,0
CASP8,K04398,1,CASP8 mutation,1,Autoimmune lymphoproliferative syndromes,0,,0
CCND1,K04503,1,CCND1 amplification,1,Breast cancer,0,,0
CCNE1,K06626,1,CCNE amplification,1,Gastric cancer,0,,0
CCT5,K09497,1,CCT5 mutation,1,Hereditary sensory neuropathy with spastic paraplegia,0,,0
CD46,K04007,1,CD46 mutation,1,Atypical hemolytic uremic syndrome,0,,0
CD55,K04006,1,CD55 mutation,1,Complement regulatory protein defects,0,,0
CD59,K04008,1,CD59 mutation,1,Complement regulatory protein defects,0,,0
CDC45,K06628,1,CDC45 mutation,1,Meier-Gorlin syndrome,0,,0
CDC6,K02213,1,CDC6 mutation,1,Meier-Gorlin syndrome,0,,0
CDK5RAP2,K16542,1,CDK5RAP2 mutation,1,Primary microcephaly,0,,0
CDON,K20033,1,CDON mutation,1,Holoprosencephaly,0,,0
CDT1,K10727,1,CDT1 mutation,1,Meier-Gorlin syndrome,0,,0
CDX2,K22234,1,CDX2 overexpression,1,Gastric cancer,0,,0
CENPE,K11498,1,CENPE mutation,1,Primary microcephaly,0,,0
CENPF,K11499,1,CENPF mutation,1,Stromme syndrome,0,,0
CENPT,K11512,1,CENPT mutation,1,Short stature and microcephaly with genital anomalies,0,,0
CEP57,K16762,1,CEP57 mutation,1,Mosaic variegated aneuploidy syndrome,0,,0
CFHR5,K23817,1,CFHR5 mutation,1,C3 glomerulopathy,0,,0
CFP,K15412,1,CFP mutation,1,Alternative complement pathway component defects,0,,0
CHST14,K08105,1,CHST14 mutation,1,Ehlers-Danlos syndrome musculocontractural type,0,,0
CHST3,K01020,1,CHST3 mutation,1,Spondyloepiphyseal dysplasia with congenital joint dislocations,0,,0
CHSY1,K13499,1,CHSY1 mutation,1,Temtamy preaxial brachydactyly syndrome,0,,0
CLTC,K04646,1,CLTC mutation,1,Autosomal dominant intellectual developmental disorder,0,,0
COLEC10,K10065,1,COLEC10 mutation,1,3MC syndrome,0,,0
COLEC11,K10066,1,COLEC11 mutation,1,3MC syndrome,0,,0
CP,K13624,1,CP mutation,1,Aceruloplasminemia,0,,0
CPOX,K00228,1,CPOX deficiency,1,Porphyria,0,,0
CPS1,K01948,1,CPS1 deficiency,1,Carbamoyl phosphate synthetase I deficiency,0,,0
CPT1A,K08765,1,CPT1A deficiency,1,Carnitine palmitoyltransferase I deficiency,0,,0
CPT2,K08766,1,CPT2 deficiency,1,Carnitine palmitoyltransferase II deficiency,0,,0
CRPPA,K21031,1,ISPD deficiency,1,Muscular dystrophy-dystroglycanopathy type C,0,,0
CSGALNACT1,K00746,1,CSGALNACT1 mutation,1,Skeletal dysplasia with joint laxity and advanced bone age,0,,0
CSNK2A1,K03097,1,CSNK2A1 mutation,1,Neurodevelopmental disorder with dysmorphic facies and skeletal anomalies,0,,0
CTC1,K23311,1,CTC1 mutation,1,Coats plus syndrome,0,,0
CTCF,K23195,1,CTCF mutation,1,Autosomal dominant intellectual developmental disorder,0,,0
CYCS,K08738,1,CYCS mutation,1,Thrombocytopenia (THC),0,,0
CYP11A1,K00498,1,CYP11A1 deficiency,1,"Adrenal insufficiency, congenital, with 46XY sex reversal, partial or complete",0,,0
CYP11B1,K00497,1,CYP11B1 deficiency,1,Congenital adrenal hyperplasia,0,,0
CYP17A1,K00512,1,CYP17A1 deficiency,1,Congenital adrenal hyperplasia,0,,0
CYP21A2,K00513,1,CYP21A2 deficiency,1,Congenital adrenal hyperplasia,0,,0
CYP27A1,K00488,1,CYP27A1 deficiency,1,Cerebrotendinous xanthomatosis,0,,0
CYP27B1,K07438,1,CYP27B1 deficiency,1,Vitamin D-dependent rickets,0,,0
CYP2R1,K07419,1,CYP2R1 deficiency,1,Vitamin D-dependent rickets,0,,0
CYP7B1,K07430,1,CYP7B1 deficiency,1,Congenital bile acid synthesis defect,0,,0
DAB1,K20054,1,DAB1 overexpression,1,Spinocerebellar ataxia (SCA),0,,0
DBH,K00503,1,DBH deficiency,1,Dopamine beta-hydroxylase deficiency,0,,0
DBT,K09699,1,DBT deficiency,1,Maple syrup urine disease,0,,0
DCC,K06765,1,DCC loss,1,Colorectal cancer,0,,0
DCT,K01827,1,DCT deficiency,1,Oculocutaneous albinism,0,,0
DDB1,K10610,1,DDB1 mutation,1,White-Kernohan syndrome,0,,0
DDB2,K10140,1,DDB2 mutation,1,Xeroderma pigmentosum,0,,0
DDC,K01593,1,DDC deficiency,1,Aromatic L-amino acid decarboxylase deficiency,1,Eladocagene exuparvovec (USAN/INN),0
DDIT3,K04452,1,FUS-DDIT3 fusion,1,Myxoid liposarcoma,0,,0
DDOST,K12670,1,DDOST deficiency,1,Congenital disorders of glycosylation type I,0,,0
DDX11,K11273,1,DDX11 mutation,1,Warsaw breakage syndrome,0,,0
DEPDC5,K20404,1,DEPDC5 mutation,1,Familial focal epilepsy with variable foci,0,,0
DHCR24,K09828,1,DHCR24 deficiency,1,Desmosterolosis,0,,0
DHCR7,K00213,1,DHCR7 deficiency,1,Smith-Lemli-Opitz syndrome,0,,0
DHDDS,K11778,1,DHDDS deficiency,1,Congenital disorders of glycosylation type I,0,,0
DKC1,K11131,1,DKC1 mutation,1,Dyskeratosis congenita,0,,0
DLAT,K00627,1,DLAT deficiency,1,Pyruvate dehydrogenase E2 deficiency,0,,0
DLD,K00382,1,DLD deficiency,1,Dihydrolipoamide dehydrogenase deficiency,0,,0
DLL3,K06051,1,DLL3 mutation,1,Spondylocostal dysostosis,0,,0
DLL4,K06051,1,DLL4 mutation,1,Adams-Oliver syndrome,0,,0
DMD,K10366,1,DMD mutation,1,Duchenne muscular dystrophy,4,Eteplirsen (USAN/INN); Viltolarsen (JAN/USAN); Golodirsen (USAN/INN); Casimersen (USAN/INN),0
DNASE1,K11994,1,DNASE1 mutation,1,Systemic lupus erythematosus,0,,0
DNASE1L3,K11995,1,DNASE1L3 mutation,1,Systemic lupus erythematosus,0,,0
DNASE2,K01158,1,DNASE2 mutation,1,Autoinflammatory-pancytopenia syndrome,0,,0
DOLK,K00902,1,DOLK deficiency,1,Congenital disorders of glycosylation type I,0,,0
DPAGT1,K01001,1,ALG7 deficiency,1,Congenital disorders of glycosylation type I,0,,0
DPM1,K00721,1,DPM1 deficiency,1,Congenital disorders of glycosylation type I,0,,0
DPM2,K09658,1,DPM2 deficiency,1,Congenital disorders of glycosylation type I,0,,0
DPM3,K09659,1,DPM3 deficiency,1,Congenital disorders of glycosylation type I,0,,0
DSE,K01794,1,DSE mutation,1,Ehlers-Danlos syndrome musculocontractural type,0,,0
DUOX2,K13411,1,DUOX2 mutation,1,Thyroid dyshormonogenesis,0,,0
DUOXA2,K17232,1,DUOXA2 mutation,1,Thyroid dyshormonogenesis,0,,0
DUSP6,K21946,1,DUSP6 mutation,1,Hypogonadotropic hypogonadism,0,,0
DVL1,K02353,1,DVL1 mutation,1,Robinow syndrome,0,,0
DVL3,K02353,1,DVL3 mutation,1,Robinow syndrome,0,,0
DYNC1I2,K10415,1,DYNC1I2 mutation,1,Neurodevelopmental disorder with microcephaly,0,,0
DYNC2H1,K10414,1,DYNC2H1 mutation,1,Short-rib thoracic dysplasia,0,,0
DYNC2LI1,K10417,1,DYNC2LI1 mutation,1,Short-rib thoracic dysplasia,0,,0
ECHS1,K07511,1,ECHS1 deficiency,1,Disorders of mitochondrial fatty-acid oxidation,0,,0
EGF,K04357,1,EGF overexpression,1,Colorectal cancer,0,,0
ENG,K06526,1,ENG mutation,1,Hereditary hemorrhagic telangiectasia,0,,0
ENO3,K01689,1,ENO3 deficiency,1,Glycogen storage disease type XIII,0,,0
EPO,K05437,1,EPO mutation,1,Congenital polycythemia,0,,0
EPOR,K05079,1,EPOR mutation,1,Congenital polycythemia,0,,0
ERBB4,K05085,1,ERBB4 mutation,1,Amyotrophic lateral sclerosis (ALS),0,,0
ERCC1,K10849,1,ERCC1 mutation,1,Cerebro-oculo-facio-skeletal syndrome,0,,0
EREG,K09784,1,EREG overexpression,1,Colorectal cancer,0,,0
ETV5,K15593,1,TMPRSS2-ETV5 fusion,1,Prostate cancer,0,,0
EXT1,K02366,1,EXT1 mutation,1,Multiple exostoses,0,,0
EXT2,K02367,1,EXT2 mutation,1,Multiple exostoses,0,,0
EXTL3,K02370,1,EXTL3 mutation,1,Immunoskeletal dysplasia with neurodevelopmental abnormalities,0,,0
F10,K01314,1,F10 mutation,1,Factor X deficiency,0,,0
F11,K01323,1,F11 mutation,1,Factor XI deficiency,0,,0
F13B,K03906,1,F13B mutation,1,Factor XIII deficiency,0,,0
F8,K03899,1,F8 mutation,1,Hemophilia,1,Valoctocogene roxaparvovec (USAN/INN),0
FAH,K01555,1,FAH deficiency,1,Tyrosinemia,0,,0
FAN1,K15363,1,FAN1 mutation,1,Karyomegalic interstitial nephritis,0,,0
FANCA,K10888,1,FANCA mutation,1,Fanconi anemia,0,,0
FANCB,K10889,1,FANCB mutation,1,Fanconi anemia,0,,0
FANCC,K10890,1,FANCC mutation,1,Fanconi anemia,0,,0
FANCD2,K10891,1,FANCD2 mutation,1,Fanconi anemia,0,,0
FANCE,K10892,1,FANCE mutation,1,Fanconi anemia,0,,0
FANCF,K10893,1,FANCF mutation,1,Fanconi anemia,0,,0
FANCG,K10894,1,FANCG mutation,1,Fanconi anemia,0,,0
FANCI,K10895,1,FANCI mutation,1,Fanconi anemia,0,,0
FANCL,K10606,1,FANCL mutation,1,Fanconi anemia,0,,0
FAS,K04390,1,FAS mutation,1,Autoimmune lymphoproliferative syndromes,0,,0
FASLG,K04389,1,FASLG mutation,1,Autoimmune lymphoproliferative syndromes,0,,0
FCN3,K10104,1,FCN3 mutation,1,Mannose-binding lectin pathway component defects,0,,0
FDPS,K00787,1,FDPS deficiency,1,Porokeratosis,0,,0
FECH,K01772,1,FECH deficiency,1,Porphyria,0,,0
FGB,K03904,1,FGB mutation,1,Afibrinogenemia,0,,0
FGF17,K04358,1,FGF17 mutation,1,Hypogonadotropic hypogonadism,0,,0
FGF8,K04358,1,FGF8 mutation,1,Hypogonadotropic hypogonadism,0,,0
FGG,K03905,1,FGG mutation,1,Afibrinogenemia,0,,0
FH,K01679,1,FH deficiency,1,Fumarase deficiency,0,,0
FKRP,K19873,1,FKRP deficiency,1,Muscular dystrophy-dystroglycanopathy,0,,0
FKTN,K19872,1,FKTN deficiency,1,Muscular dystrophy-dystroglycanopathy,0,,0
FLCN,K09594,1,FLCN mutation,1,Birt-Hogg-Dube syndrome,0,,0
FLI1,K09436,1,EWSR1-FLI1 fusion,1,Ewing sarcoma,0,,0
FOXO1,K07201,1,PAX3-FOXO1 fusion,1,Rhabdomyosarcoma,0,,0
FSHB,K05250,1,FSHB mutation,1,Isolated follicle-stimulating hormone deficiency,0,,0
FTH1,K00522,1,FTH1 mutation,1,Hemochromatosis,0,,0
FTL,K13625,1,FTL mutation,1,Neuroferritinopathy,0,,0
FUS,K13098,1,FUS mutation,1,Amyotrophic lateral sclerosis (ALS),0,,0
FZD2,K02235,1,FZD2 mutation,1,Omodysplasia,0,,0
FZD6,K02376,1,FZD6 mutation,1,Nonsyndromic congenital nail disorder,0,,0
G6PC1,K01084,1,G6PC deficiency,1,Glycogen storage disease type I,0,,0
G6PD,K00036,1,G6PD deficiency,1,Glucose 6-phosphate dehydrogenase deficiency,0,,0
GAA,K12316,1,GAA deficiency,1,Glycogen storage disease type II,2,Alglucosidase alfa (USAN/INN); Avalglucosidase alfa (USAN/INN),0
GALC,K01202,1,GALC deficiency,1,Krabbe disease,0,,0
GALE,K01784,1,GALE deficiency,1,Galactose epimerase deficiency,0,,0
GALK1,K00849,1,GALK1 deficiency,1,Galactokinase deficiency,0,,0
GALM,K01785,1,GALM deficiency,1,Galactosemia,0,,0
GALNS,K01132,1,GALNS deficiency,1,Mucopolysaccharidosis type IV,1,Elosulfase alfa (USAN),0
GALT,K00965,1,GALT deficiency,1,Galactose-1P uridylyltransferase deficiency,0,,0
GAMT,K00542,1,GAMT deficiency,1,Cerebral creatine deficiency syndrome,0,,0
GATM,K00613,1,GATM deficiency,1,Cerebral creatine deficiency syndrome,0,,0
GBE1,K00700,1,GBE1 deficiency,1,Glycogen storage disease type IV,0,,0
GCLC,K11204,1,GCLC deficiency,1,Anemia due to disorders of glutathione metabolism,0,,0
GCSH,K02437,1,GCSH deficiency,1,Nonketotic hyperglycinemia,0,,0
GDF2,K05503,1,GDF2 mutation,1,Hereditary hemorrhagic telangiectasia,0,,0
GDF6,K20012,1,GDF6 mutation,1,Multiple synostosis syndrome,0,,0
GH1,K05438,1,GH1 mutation,1,Isolated growth hormone deficiency,0,,0
GHR,K05080,1,GHR mutation,1,Laron syndrome,0,,0
GHRHR,K04584,1,GHRHR mutation,1,Isolated growth hormone deficiency,0,,0
GINS1,K10732,1,GINS1 mutation,1,Combined immunodeficiency,0,,0
GLB1,K12309,1,GLB1 deficiency,1,Mucopolysaccharidosis type IV,0,,0
GLDC,K00281,1,GLDC deficiency,1,Nonketotic hyperglycinemia,0,,0
GLE1,K18723,1,GLE1 mutation,1,Amyotrophic lateral sclerosis (ALS),0,,0
GLI2,K16798,1,GLI2 mutation,1,Holoprosencephaly,0,,0
GMNN,K10749,1,GMNN mutation,1,Meier-Gorlin syndrome,0,,0
GNRH1,K05252,1,GNRH1 mutation,1,Hypogonadotropic hypogonadism,0,,0
GNRHR,K04280,1,GNRHR mutation,1,Hypogonadotropic hypogonadism,0,,0
GNS,K01137,1,GNS deficiency,1,Mucopolysaccharidosis type III,0,,0
GPAA1,K05289,1,GPAA1 deficiency,1,Inherited glycosylphosphatidylinositol deficiencies,0,,0
GPHN,K15376,1,GPHN deficiency,1,Molybdenum cofactor deficiency,0,,0
GPX1,K00432,1,GPX1 deficiency,1,Anemia due to disorders of glutathione metabolism,0,,0
GPX4,K05361,1,GPX4 mutation,1,"Spondylometaphyseal dysplasia, Sedaghatian type",0,,0
GREM2,K23318,1,GREM2 mutation,1,Tooth agenesis,0,,0
GRM1,K04603,1,GRM1 mutation,1,Spinocerebellar ataxia (SCA),0,,0
GSR,K00383,1,GSR deficiency,1,Anemia due to disorders of glutathione metabolism,0,,0
GTF2H5,K10845,1,GTF2H5 mutation,1,Trichothiodystrophy,0,,0
GUSB,K01195,1,GUSB deficiency,1,Mucopolysaccharidosis type VII,1,Vestronidase alfa (USAN/INN),0
GYG1,K00750,1,GYG1 deficiency,1,Glycogen storage disease type XV,0,,0
GYS1,K00693,1,GYS1 deficiency,1,Glycogen storage disease type 0b,0,,0
GYS2,K00693,1,GYS2 deficiency,1,Glycogen storage disease type 0a,0,,0
H6PD,K13937,1,H6PD mutation,1,Cortisone reductase deficiency,0,,0
HADH,K00022,1,HADH deficiency,1,3-Hydroxyacyl-CoA dehydrogenase deficiency,0,,0
HADHA,K07515,1,HADHA deficiency,1,LCHAD deficiency,0,,0
HADHB,K07509,1,HADHB deficiency,1,Mitochondrial trifunctional protein deficiency,0,,0
HAMP,K23106,1,HAMP mutation,1,Hemochromatosis,0,,0
HDAC8,K11405,1,HDAC8 mutation,1,Cornelia de Lange syndrome,0,,0
HERC2,K10595,1,HERC2 mutation,1,Autosomal recessive intellectual developmental disorder,0,,0
HES7,K09087,1,HES7 mutation,1,Spondylocostal dysostosis,0,,0
HFE,,1,HFE mutation,1,Hemochromatosis,0,,0
HGD,K00451,1,HGD deficiency,1,Alkaptonuria,0,,0
HGF,K05460,1,HGF overexpression,1,Hepatocellular carcinoma,0,,0
HGSNAT,K10532,1,HGSNAT deficiency,1,Mucopolysaccharidosis type III,0,,0
HHAT,K24678,1,HHAT mutation,1,Nivelon-Nivelon-Mabille syndrome,0,,0
HIBCH,K05605,1,HIBCH deficiency,1,Methacrylic aciduria,0,,0
HJV,K23100,1,HJV mutation,1,Hemochromatosis,0,,0
HMBS,K01749,1,HMBS deficiency,1,Porphyria,0,,0
HMGCL,K01640,1,HMGCL deficiency,1,3-Hydroxy-3-methylglutaryl-CoA lyase deficiency,0,,0
HPD,K00457,1,HPD deficiency,1,Tyrosinemia,0,,0
HPRT1,K00760,1,HPRT1 deficiency,1,Lesch-Nyhan syndrome,0,,0
HS6ST1,K02514,1,HS6ST1 mutation,1,Hypogonadotropic hypogonadism,0,,0
HSD11B1,K15680,1,HSD11B1 mutation,1,Cortisone reductase deficiency,0,,0
HSD11B2,K00071,1,HSD11B2 deficiency,1,Apparent mineralocorticoid excess syndrome,0,,0
HSD17B10,K08683,1,HSD17B10 deficiency,1,2-Methyl-3-hydroxybutyryl-CoA dehydrogenase (MHBD) deficiency,0,,0
HSD17B3,K10207,1,HSD17B3 deficiency,1,"46,XY disorder of sex development due to testosterone secretion defect",0,,0
HSD17B4,K12405,1,HSD17B4 deficiency,1,D-bifunctional protein deficiency,0,,0
HSD3B2,K00070,1,HSD3B2 deficiency,1,Congenital adrenal hyperplasia,0,,0
HSD3B7,K12408,1,HSD3B7 deficiency,1,Congenital bile acid synthesis defect,0,,0
HTT,K04533,1,HTT mutation,1,Huntington disease,2,Tominersen sodium (JAN); Tominersen (USAN/INN),0
HYAL1,K01197,1,HYAL1 deficiency,1,Mucopolysaccharidosis type IX,0,,0
IDS,K01136,1,IDS deficiency,1,Mucopolysaccharidosis type II,2,Idursulfase (USAN/INN); Idursulfase beta (INN),0
IDUA,K01217,1,IDUA deficiency,1,Mucopolysaccharidosis type I,1,Laronidase (USAN),0
IFNAR2,K05131,1,IFNAR2 mutation,1,Disorders of innate immunity,0,,0
IFNGR1,K05132,1,IFNGR1 mutation,1,IFN-gamma/IL-12 axis,0,,0
IFNGR2,K05133,1,IFNGR2 mutation,1,IFN-gamma/IL-12 axis,0,,0
IGF1,K05459,1,IGF1 mutation,1,Insulin-like growth factor I deficiency,0,,0
IGF2,K13769,1,IGF2 overexpression,1,Hepatocellular carcinoma,0,,0
