gene_symbol,ko_id,variant_entry_count,variant_phenotypes,linked_disease_count,linked_disease_names,linked_drug_target_count,linked_drug_target_names,linked_network_count
BRCA2,K08775,1,BRCA2 mutation,4,Pancreatic cancer; Breast cancer; Fanconi anemia; Familial breast-ovarian cancer,0,,0
CFI,K01333,1,CFI mutation,4,Complement regulatory protein defects; Age-related macular degeneration; Atypical hemolytic uremic syndrome; C3 glomerulopathy,0,,0
GDF5,K04664,1,GDF5 mutation,4,Brachydactyly; Multiple synostosis syndrome; Proximal symphalangism; Acromesomelic dysplasia,0,,0
GLI3,K06230,1,GLI3 mutation,4,Pallister-Hall syndrome; Postaxial polydactyly; Greig cephalopolysyndactyly syndrome; Preaxial polydactyly,0,,0
NLRP3,K12800,1,NLRP3 mutation,4,"Deafness, autosomal dominant; Familial cold autoinflammatory syndrome; Muckle-Wells syndrome; CINCA syndrome",0,,0
NOG,K04658,1,NOG mutation,4,Brachydactyly; Multiple synostosis syndrome; Tarsal-carpal coalition syndrome; Proximal symphalangism,0,,0
TREX1,K10790,1,TREX1 mutation,4,Systemic lupus erythematosus; Aicardi-Goutieres syndrome; Familial chilblain lupus (FCL); Retinal vasculopathy with cerebral leukodystrophy,0,,0
VCP,K13525,1,VCP mutation,4,Amyotrophic lateral sclerosis (ALS); Charcot-Marie-Tooth disease; Inclusion body myopathy with Paget disease of bone and frontotemporal dementia; Frontotemporal dementia and amyotrophic lateral sclerosis,0,,0
RUNX1,K08367,5,AML1 mutation; AML1-ETO fusion; AML1-EVI1 fusion; RUNX1 mutation; TEL-AML1 fusion,3,B-cell acute lymphoblastic leukemia; Acute myeloid leukemia; Chronic myeloid leukemia,0,,0
FGFR3,K05094,3,FGFR3 erdafitinib-susceptible variation; FGFR3 mutation,3,Bladder cancer; Crouzon syndrome; Muenke syndrome,1,Erdafitinib (JAN/USAN/INN),0
F5,K03902,2,F5 mutation; Factor V Leiden,3,Factor V deficiency; Inherited thrombophilia; Budd-Chiari syndrome,0,,0
NOTCH1,K02599,2,NOTCH1 mutation; NOTCH1 overexpression,3,Breast cancer; Aortic valve disease; Adams-Oliver syndrome,0,,0
PTCH1,K06225,2,PTCH1 mutation,3,Basal cell carcinoma; Holoprosencephaly; Basal cell nevus syndrome,0,,0
TGFBR1,K04674,2,TGFBR1 mutation; TGFBR1 reduced expression,3,Gastric cancer; Loeys-Dietz syndrome; Familial thoracic aortic aneurysm and dissection,0,,0
BLM,K10901,1,BLM mutation,3,"Defects in RecQ helicases; Bloom syndrome; Microcephaly, growth restriction, and increased sister chromatid exchange",0,,0
C3,K03990,1,C3 mutation,3,Classic complement pathway component defects; Age-related macular degeneration; Atypical hemolytic uremic syndrome,0,,0
CFB,K01335,1,CFB mutaion,3,Alternative complement pathway component defects; Age-related macular degeneration; Atypical hemolytic uremic syndrome,0,,0
CTNNB1,K02105,1,CTNNB1 mutation,3,Colorectal cancer; Endometrial cancer; Hepatocellular carcinoma,0,,0
DCTN1,K04648,1,DCTN1 mutaion,3,Amyotrophic lateral sclerosis (ALS); Distal hereditary motor neuropathies; Perry syndrome,0,,0
DYNC1H1,K10413,1,DYNC1H1 mutation,3,Charcot-Marie-Tooth disease; Spinal muscular atrophy; Autosomal dominant intellectual developmental disorder,0,,0
ERCC2,K10844,1,ERCC2 mutation,3,Trichothiodystrophy; Xeroderma pigmentosum; Cerebro-oculo-facio-skeletal syndrome,0,,0
ERCC3,K10843,1,ERCC3 mutation,3,Cockayne syndrome; Trichothiodystrophy; Xeroderma pigmentosum,0,,0
ERCC4,K10848,1,ERCC4 mutation,3,Cockayne syndrome; Fanconi anemia; Xeroderma pigmentosum,0,,0
ERCC5,K10846,1,ERCC5 mutation,3,Cockayne syndrome; Xeroderma pigmentosum; Cerebro-oculo-facio-skeletal syndrome,0,,0
ERCC6,K10841,1,ERCC6 mutation,3,Cockayne syndrome; UV-sensitive syndrome; Cerebro-oculo-facio-skeletal syndrome,0,,0
IFIH1,K12647,1,IFIH1 mutation,3,Aicardi-Goutieres syndrome; Singleton-Merten syndrome; Disorders of innate immunity,0,,0
JAK2,K04447,1,JAK2 mutation,3,Congenital polycythemia; Myelofibrosis; Essential thrombocythemia,0,,0
KIF7,K18806,1,KIF7 mutation,3,Acrocallosal syndrome; Joubert syndrome and related disorders; Hydrolethalus syndrome,0,,0
NOTCH3,K20995,1,NOTCH3 mutation,3,Cerebral autosomal dominant arteriopathy with subcortical infarcts and leucoencephalopathy (CADASIL); Lateral meningocele syndrome; Infantile myofibromatosis,0,,0
PALB2,K10897,1,PALB2 mutation,3,Pancreatic cancer; Breast cancer; Fanconi anemia,0,,0
PDE11A,K13298,1,PDE11A,3,Pigmented micronodular adrenocortical disease; Cushing syndrome; Bilateral macronodular adrenal hyperplasia,0,,0
PDE8B,K18437,1,PDE8B mutation,3,Pigmented micronodular adrenocortical disease; Cushing syndrome; Bilateral macronodular adrenal hyperplasia,0,,0
POLE,K02324,1,POLE mutation,3,IMAGE-I syndrome; FILS syndrome; Polymerase proofreading-associated polyposis,0,,0
POLG,K02332,1,POLG mutation,3,Mitochondrial DNA depletion syndrome; Progressive external ophthalmoplegia; Mitochondrial neurogastrointestinal encephalomyopathy,0,,0
PRKAR1A,K04739,1,PRKAR1A mutation,3,Pigmented micronodular adrenocortical disease; Pituitary adenomas; Cushing syndrome,0,,0
PSAP,K12382,1,PSAP deficiency,3,Gaucher disease; Krabbe disease; Sphingolipidosis,0,,0
PTPN11,K07293,1,PTPN11 mutation,3,Noonan syndrome; Leopard syndrome; Juvenile myelomonocytic leukemia,0,,0
RAG1,K10628,1,RAG1 mutation,3,T-B-Severe combined immunodeficiency; T+B+Severe combined immunodeficiencies (SCIDs); Omenn syndrome,0,,0
RECQL4,K10730,1,RECQL4 mutation,3,RAPADILINO syndrome; Rothmund-Thomson syndrome; Baller-Gerold syndrome,0,,0
