variant_id,gene_symbol,gene_description,ko_id
1621v1,DBH,dopamine beta-hydroxylase,K00503
162417v1,NAGS,N-acetylglutamate synthase,K11067
1629v1,DBT,dihydrolipoamide branched chain transacylase E2,K09699
1630v1,DCC,DCC netrin 1 receptor,K06765
1638v1,DCT,dopachrome tautomerase,K01827
1639v1,DCTN1,dynactin subunit 1,K04648
1642v1,DDB1,damage specific DNA binding protein 1,K10610
1643v1,DDB2,damage specific DNA binding protein 2,K10140
1644v1,DDC,dopa decarboxylase,K01593
1649v1,DDIT3,DNA damage inducible transcript 3,K04452
1650v1,DDOST,dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit,K12670
165918v1,RNF168,ring finger protein 168,K20779
1663v1,DDX11,DEAD/H-box helicase 11,K11273
1675v1,CFD,complement factor D,K01334
1717v1,DHCR7,7-dehydrocholesterol reductase,K00213
1718v1,DHCR24,24-dehydrocholesterol reductase,K09828
1736v1,DKC1,dyskerin pseudouridine synthase 1,K11131
1737v1,DLAT,dihydrolipoamide S-acetyltransferase,K00627
1738v1,DLD,dihydrolipoamide dehydrogenase,K00382
1756v1,DMD,dystrophin,K10366
1763v1,DNA2,DNA replication helicase/nuclease 2,K10742
1773v1,DNASE1,deoxyribonuclease 1,K11994
1776v1,DNASE1L3,deoxyribonuclease 1 like 3,K11995
1777v1,DNASE2,"deoxyribonuclease 2, lysosomal",K01158
1778v1,DYNC1H1,dynein cytoplasmic 1 heavy chain 1,K10413
1781v1,DYNC1I2,dynein cytoplasmic 1 intermediate chain 2,K10415
1789v1,DNMT3B,DNA methyltransferase 3 beta,K17399
178v1,AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",K01196
1798v1,DPAGT1,dolichyl-phosphate N-acetylglucosaminephosphotransferase 1,K01001
1806v1,DPYD,dihydropyrimidine dehydrogenase,K00207
1807v1,DPYS,dihydropyrimidinase,K01464
182v1,JAG1,jagged canonical Notch ligand 1,K06052
1848v1,DUSP6,dual specificity phosphatase 6,K21946
1855v1,DVL1,dishevelled segment polarity protein 1,K02353
1857v1,DVL3,dishevelled segment polarity protein 3,K02353
1892v1,ECHS1,"enoyl-CoA hydratase, short chain 1",K07511
190v1,NR0B1,nuclear receptor subfamily 0 group B member 1,K08562
1950v1,EGF,epidermal growth factor,K04357
1956v1,EGFR,epidermal growth factor receptor,K04361
1956v2,EGFR,epidermal growth factor receptor,K04361
1956v3,EGFR,epidermal growth factor receptor,K04361
1956v4,EGFR,epidermal growth factor receptor,K04361
1956v5,EGFR,epidermal growth factor receptor,K04361
201163v1,FLCN,folliculin,K09594
201595v1,STT3B,STT3 oligosaccharyltransferase complex catalytic subunit B,K07151
2022v1,ENG,endoglin,K06526
2027v1,ENO3,enolase 3,K01689
203068v1,TUBB,tubulin beta class I,K07375
203228v1,C9orf72,C9orf72-SMCR8 complex subunit,K23609
2056v1,EPO,erythropoietin,K05437
2057v1,EPOR,erythropoietin receptor,K05079
2064v1,ERBB2,erb-b2 receptor tyrosine kinase 2,K05083
2064v2,ERBB2,erb-b2 receptor tyrosine kinase 2,K05083
2064v3,ERBB2,erb-b2 receptor tyrosine kinase 2,K05083
2066v1,ERBB4,erb-b2 receptor tyrosine kinase 4,K05085
2067v1,ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit",K10849
2068v1,ERCC2,"ERCC excision repair 2, TFIIH core complex helicase subunit",K10844
2069v1,EREG,epiregulin,K09784
2071v1,ERCC3,"ERCC excision repair 3, TFIIH core complex helicase subunit",K10843
2072v1,ERCC4,"ERCC excision repair 4, endonuclease catalytic subunit",K10848
2073v1,ERCC5,"ERCC excision repair 5, endonuclease",K10846
2074v1,ERCC6,"ERCC excision repair 6, chromatin remodeling factor",K10841
2078v1,ERG,ETS transcription factor ERG,K09435
2078v2,ERG,ETS transcription factor ERG,K09435
2099v1,ESR1,estrogen receptor 1,K08550
2099v2,ESR1,estrogen receptor 1,K08550
210v1,ALAD,aminolevulinate dehydratase,K01698
2115v1,ETV1,ETS variant transcription factor 1,K09431
2119v1,ETV5,ETS variant transcription factor 5,K15593
2121v1,EVC,EvC ciliary complex subunit 1,K19605
2122v1,MECOM,MDS1 and EVI1 complex locus,K04462
212v1,ALAS2,5'-aminolevulinate synthase 2,K00643
2131v1,EXT1,exostosin glycosyltransferase 1,K02366
