gene_symbol,gene_description,ko_id,variant_entry_count
NCAPD3,non-SMC condensin II complex subunit D3,K11491,1
NCAPG2,non-SMC condensin II complex subunit G2,K11492,1
NCAPH,non-SMC condensin I complex subunit H,K06676,1
NCSTN,nicastrin,K06171,1
NDE1,nudE neurodevelopment protein 1,K16738,1
NDST1,N-deacetylase and N-sulfotransferase 1,K02576,1
NF1,neurofibromin 1,K08052,1
NFE2L2,NFE2 like bZIP transcription factor 2,K05638,1
NHEJ1,non-homologous end joining factor 1,K10980,1
NHP2,NHP2 ribonucleoprotein,K11129,1
NIPBL,NIPBL cohesin loading factor,K06672,1
NKX3-1,NK3 homeobox 1,K09348,1
NLRC4,NLR family CARD domain containing 4,K12805,1
NLRP1,NLR family pyrin domain containing 1,K12798,1
NLRP12,NLR family pyrin domain containing 12,K20865,1
NLRP3,NLR family pyrin domain containing 3,K12800,1
NOD2,nucleotide binding oligomerization domain containing 2,K10165,1
NODAL,nodal growth differentiation factor,K04666,1
NOG,noggin,K04658,1
NOP10,NOP10 ribonucleoprotein,K11130,1
NOTCH1,notch receptor 1,K02599,2
NOTCH2,notch receptor 2,K20994,1
NOTCH3,notch receptor 3,K20995,1
NOTCH4,notch receptor 4,K20996,1
NPRL2,"NPR2 like, GATOR1 complex subunit",K20405,1
NPRL3,"NPR3 like, GATOR1 complex subunit",K20406,1
NR0B1,nuclear receptor subfamily 0 group B member 1,K08562,1
NR3C1,nuclear receptor subfamily 3 group C member 1,K05771,1
NR4A3,nuclear receptor subfamily 4 group A member 3,K08559,1
NR5A1,nuclear receptor subfamily 5 group A member 1,K08560,1
NRAS,"NRAS proto-oncogene, GTPase",K07828,2
NSD2,nuclear receptor binding SET domain protein 2,K11424,1
NSDHL,NAD(P) dependent steroid dehydrogenase-like,K07748,1
NTHL1,nth like DNA glycosylase 1,K10773,1
NTRK1,neurotrophic receptor tyrosine kinase 1,K03176,1
NUS1,NUS1 dehydrodolichyl diphosphate synthase subunit,K19177,1
NXN,nucleoredoxin,K17609,1
OAT,ornithine aminotransferase,K00819,1
OGDH,oxoglutarate dehydrogenase,K00164,1
OGDHL,oxoglutarate dehydrogenase L,K00164,1
OGG1,8-oxoguanine DNA glycosylase,K03660,1
OPLAH,"5-oxoprolinase, ATP-hydrolysing",K01469,1
OPTN,optineurin,K19946,1
ORC1,origin recognition complex subunit 1,K02603,1
ORC4,origin recognition complex subunit 4,K02606,1
ORC6,origin recognition complex subunit 6,K02608,1
OTC,ornithine transcarbamylase,K00611,1
OTULIN,OTU deubiquitinase with linear linkage specificity,K18343,1
PAFAH1B1,platelet activating factor acetylhydrolase 1b regulatory subunit 1,K16794,1
PAH,phenylalanine hydroxylase,K00500,1
PALB2,partner and localizer of BRCA2,K10897,1
PARK7,Parkinsonism associated deglycase,K05687,1
PARN,poly(A)-specific ribonuclease,K01148,1
PAX3,paired box 3,K09381,1
PAX8,paired box 8,K09293,2
PBX1,PBX homeobox 1,K09355,1
PC,pyruvate carboxylase,K01958,1
PCBD1,pterin-4 alpha-carbinolamine dehydratase 1,K01724,1
PCCA,propionyl-CoA carboxylase subunit alpha,K01965,1
PCCB,propionyl-CoA carboxylase subunit beta,K01966,1
PCK1,phosphoenolpyruvate carboxykinase 1,K01596,1
PCNA,proliferating cell nuclear antigen,K04802,1
PCSK9,proprotein convertase subtilisin/kexin type 9,K13050,1
PDE11A,phosphodiesterase 11A,K13298,1
PDE3A,phosphodiesterase 3A,K19021,1
PDE8B,phosphodiesterase 8B,K18437,1
PDGFA,platelet derived growth factor subunit A,K04359,1
PDGFB,platelet derived growth factor subunit B,K17386,1
PDGFRA,platelet derived growth factor receptor alpha,K04363,2
PDHA1,pyruvate dehydrogenase E1 subunit alpha 1,K00161,1
PDHB,pyruvate dehydrogenase E1 subunit beta,K00162,1
PDYN,prodynorphin,K15840,1
PFKM,"phosphofructokinase, muscle",K00850,1
PFN1,profilin 1,K05759,1
PGAM2,phosphoglycerate mutase 2,K01834,1
PGAP1,post-GPI attachment to proteins inositol deacylase 1,K05294,1
PGM1,phosphoglucomutase 1,K01835,1
PHGDH,phosphoglycerate dehydrogenase,K00058,1
PIGA,phosphatidylinositol glycan anchor biosynthesis class A,K03857,1
PIGB,phosphatidylinositol glycan anchor biosynthesis class B,K05286,1
PIGC,phosphatidylinositol glycan anchor biosynthesis class C,K03859,1
PIGG,phosphatidylinositol glycan anchor biosynthesis class G,K05310,1
PIGH,phosphatidylinositol glycan anchor biosynthesis class H,K03858,1
PIGK,phosphatidylinositol glycan anchor biosynthesis class K,K05290,1
PIGL,phosphatidylinositol glycan anchor biosynthesis class L,K03434,1
PIGM,phosphatidylinositol glycan anchor biosynthesis class M,K05284,1
PIGN,phosphatidylinositol glycan anchor biosynthesis class N,K05285,1
PIGO,phosphatidylinositol glycan anchor biosynthesis class O,K05288,1
PIGP,phosphatidylinositol glycan anchor biosynthesis class P,K03861,1
PIGQ,phosphatidylinositol glycan anchor biosynthesis class Q,K03860,1
PIGS,phosphatidylinositol glycan anchor biosynthesis class S,K05291,1
PIGT,phosphatidylinositol glycan anchor biosynthesis class T,K05292,1
PIGU,phosphatidylinositol glycan anchor biosynthesis class U,K05293,1
PIGV,phosphatidylinositol glycan anchor biosynthesis class V,K07542,1
PIGW,phosphatidylinositol glycan anchor biosynthesis class W,K05283,1
PIGY,phosphatidylinositol glycan anchor biosynthesis class Y,K11001,1
PIK3C2A,phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha,K00923,1
PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",K00922,2
PINK1,PTEN induced kinase 1,K05688,1
PKLR,pyruvate kinase L/R,K12406,1
PLG,plasminogen,K01315,1
PML,PML nuclear body scaffold,K10054,1
PMM2,phosphomannomutase 2,K17497,1
PMS2,"PMS1 homolog 2, mismatch repair system component",K10858,1
PMVK,phosphomevalonate kinase,K13273,1
PNKP,polynucleotide kinase 3'-phosphatase,K08073,1
POLA1,"DNA polymerase alpha 1, catalytic subunit",K02320,1
POLD1,"DNA polymerase delta 1, catalytic subunit",K02327,1
POLE,"DNA polymerase epsilon, catalytic subunit",K02324,1
POLG,"DNA polymerase gamma, catalytic subunit",K02332,1
POLG2,"DNA polymerase gamma 2, accessory subunit",K02333,1
POLH,DNA polymerase eta,K03509,1
POLR2A,RNA polymerase II subunit A,K03006,1
POMGNT1,"protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)",K09666,1
POMGNT2,"protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)",K18207,1
POMK,protein O-mannose kinase,K17547,1
POMT1,protein O-mannosyltransferase 1,K00728,1
POMT2,protein O-mannosyltransferase 2,K00728,1
PORCN,porcupine O-acyltransferase,K00181,1
POT1,protection of telomeres 1,K11109,1
PPOX,protoporphyrinogen oxidase,K00231,1
PPP1CB,protein phosphatase 1 catalytic subunit beta,K06269,1
PPP2CA,protein phosphatase 2 catalytic subunit alpha,K04382,1
PPP2R1A,protein phosphatase 2 scaffold subunit Aalpha,K03456,1
PPP2R1B,protein phosphatase 2 scaffold subunit Abeta,K03456,1
PPP2R5D,protein phosphatase 2 regulatory subunit B'delta,K11584,1
PRIM1,DNA primase subunit 1,K02684,1
PRKACA,protein kinase cAMP-activated catalytic subunit alpha,K04345,1
PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha,K04739,1
PRKCG,protein kinase C gamma,K19663,2
PRKDC,"protein kinase, DNA-activated, catalytic subunit",K06642,1
PRKN,parkin RBR E3 ubiquitin protein ligase,K04556,1
PRLR,prolactin receptor,K05081,1
PRNP,prion protein,K05634,2
PROC,"protein C, inactivator of coagulation factors Va and VIIIa",K01344,1
PRODH,proline dehydrogenase 1,K00318,1
PROK2,prokineticin 2,K24191,1
PROKR2,prokineticin receptor 2,K08380,1
PROS1,protein S,K03908,1
PSAP,prosaposin,K12382,1
PSAT1,phosphoserine aminotransferase 1,K00831,1
PSEN1,presenilin 1,K04505,1
PSEN2,presenilin 2,K04522,1
PSENEN,"presenilin enhancer, gamma-secretase subunit",K06170,1
PSPH,phosphoserine phosphatase,K01079,1
PSTPIP1,proline-serine-threonine phosphatase interacting protein 1,K12804,1
PTCH1,patched 1,K06225,2
PTCH2,patched 2,K11101,1
PTEN,phosphatase and tensin homolog,K01110,2
PTH,parathyroid hormone,K05261,1
PTHLH,parathyroid hormone like hormone,K22608,1
PTPN11,protein tyrosine phosphatase non-receptor type 11,K07293,1
PTS,6-pyruvoyltetrahydropterin synthase,K01737,1
PYGL,glycogen phosphorylase L,K00688,1
PYGM,"glycogen phosphorylase, muscle associated",K00688,1
QDPR,quinoid dihydropteridine reductase,K00357,1
RAD21,RAD21 cohesin complex component,K06670,1
RAD50,RAD50 double strand break repair protein,K10866,1
RAD51,RAD51 recombinase,K04482,1
RAD51C,RAD51 paralog C,K10870,1
RAD51D,RAD51 paralog D,K10871,1
RAD54B,RAD54 homolog B,K10877,1
RAD54L,RAD54 like,K10875,1
RAF1,"Raf-1 proto-oncogene, serine/threonine kinase",K04366,1
RAG1,recombination activating 1,K10628,1
RAG2,recombination activating 2,K10988,1
RASA1,RAS p21 protein activator 1,K04352,1
RASD1,ras related dexamethasone induced 1,K07843,1
RASSF1,Ras association domain family member 1,K09850,1
RB1,RB transcriptional corepressor 1,K06618,2
RBBP8,"RB binding protein 8, endonuclease",K20773,1
RBCK1,RANBP2-type and C3HC4-type zinc finger containing 1,K10630,1
RBPJ,recombination signal binding protein for immunoglobulin kappa J region,K06053,1
RECQL4,RecQ like helicase 4,K10730,1
REL,"REL proto-oncogene, NF-kB subunit",K09254,1
RELA,"RELA proto-oncogene, NF-kB subunit",K04735,1
RET,ret proto-oncogene,K05126,3
RFC1,replication factor C subunit 1,K10754,1
RFT1,RFT1 homolog,K06316,1
RFWD3,ring finger and WD repeat domain 3,K15691,1
RIGI,RNA sensor RIG-I,K12646,1
RIPK1,receptor interacting serine/threonine kinase 1,K02861,1
RIPPLY2,ripply transcriptional repressor 2,,1
RIT1,Ras like without CAAX 1,K07832,1
RNASEH2A,ribonuclease H2 subunit A,K10743,1
RNASEH2B,ribonuclease H2 subunit B,K10744,1
RNASEH2C,ribonuclease H2 subunit C,K10745,1
RNF125,ring finger protein 125,K12170,1
RNF168,ring finger protein 168,K20779,1
ROR2,receptor tyrosine kinase like orphan receptor 2,K05123,1
ROS1,"ROS proto-oncogene 1, receptor tyrosine kinase",K05088,1
RPA1,replication protein A1,K07466,1
RPS6KA3,ribosomal protein S6 kinase A3,K04373,1
RRAS2,RAS related 2,K07830,1
RSPO2,R-spondin 2,K23097,1
RSPO4,R-spondin 4,K23099,1
RTEL1,regulator of telomere elongation helicase 1,K11136,1
RUNX1,RUNX family transcription factor 1,K08367,5
RXYLT1,ribitol xylosyltransferase 1,K21052,1
SAMHD1,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,K22544,1
SC5D,sterol-C5-desaturase,K00227,1
SCP2,sterol carrier protein 2,K08764,1
SDHA,succinate dehydrogenase complex flavoprotein subunit A,K00234,1
SDHB,succinate dehydrogenase complex iron sulfur subunit B,K00235,1
SDHD,succinate dehydrogenase complex subunit D,K00237,1
SERPINA1,serpin family A member 1,K03984,1
SERPINA6,serpin family A member 6,K04525,1
SERPINC1,serpin family C member 1,K03911,1
SERPIND1,serpin family D member 1,K03912,1
SERPINE1,serpin family E member 1,K03982,1
SERPINF2,serpin family F member 2,K03983,1
SERPING1,serpin family G member 1,K04001,1
SFRP4,secreted frizzled related protein 4,K02185,1
SGO1,shugoshin 1,K11580,1
SGSH,N-sulfoglucosamine sulfohydrolase,K01565,1
SHH,sonic hedgehog signaling molecule,K11988,2
SHOC2,SHOC2 leucine rich repeat scaffold protein,K19613,1
SI,sucrase-isomaltase,K01203,1
SIGMAR1,sigma non-opioid intracellular receptor 1,K20719,1
SLC16A2,solute carrier family 16 member 2,K08231,1
SLC22A5,solute carrier family 22 member 5,K08202,1
SLC25A20,solute carrier family 25 member 20,K15109,1
SLC26A4,solute carrier family 26 member 4,K14702,1
SLC2A2,solute carrier family 2 member 2,K07593,1
SLC35A1,solute carrier family 35 member A1,K15272,1
SLC35A2,solute carrier family 35 member A2,K15272,1
SLC35C1,solute carrier family 35 member C1,K15279,1
SLC37A4,solute carrier family 37 member 4,K08171,1
SLC39A14,solute carrier family 39 member 14,K14720,1
SLC40A1,solute carrier family 40 member 1,K14685,1
SLC5A5,solute carrier family 5 member 5,K14385,1
SLC6A8,solute carrier family 6 member 8,K05041,1
SLCO1B1,solute carrier organic anion transporter family member 1B1,K05043,1
SLX4,SLX4 structure-specific endonuclease subunit,K10484,1
SMAD2,SMAD family member 2,K04500,2
SMAD3,SMAD family member 3,K23605,1
SMAD4,SMAD family member 4,K04501,1
SMAD9,SMAD family member 9,K16791,1
SMC1A,structural maintenance of chromosomes 1A,K06636,1
SMC3,structural maintenance of chromosomes 3,K06669,1
SMO,"smoothened, frizzled class receptor",K06226,1
SMPD1,sphingomyelin phosphodiesterase 1,K12350,1
SMS,spermine synthase,K00802,1
SNCA,synuclein alpha,K04528,1
SOD1,superoxide dismutase 1,K04565,1
SOS1,SOS Ras/Rac guanine nucleotide exchange factor 1,K03099,1
SOS2,SOS Ras/Rho guanine nucleotide exchange factor 2,K03099,1
SOST,sclerostin,K16834,1
SPR,sepiapterin reductase,K00072,1
SPRED1,sprouty related EVH1 domain containing 1,K04703,1
SPTBN2,"spectrin beta, non-erythrocytic 2",K23932,1
SQSTM1,sequestosome 1,K14381,1
SRD5A2,steroid 5 alpha-reductase 2,K12344,1
SRD5A3,steroid 5 alpha-reductase 3,K12345,1
SS18,SS18 subunit of BAF chromatin remodeling complex,K15623,1
SSX1,SSX family member 1,K15624,1
SSX2,SSX family member 2,K15625,1
STAG1,stromal antigen 1,K06671,1
STAG2,stromal antigen 2,K06671,1
STAT1,signal transducer and activator of transcription 1,K11220,1
STAT2,signal transducer and activator of transcription 2,K11221,1
STAT3,signal transducer and activator of transcription 3,K04692,1
STAT5B,signal transducer and activator of transcription 5B,K11224,1
STEAP3,STEAP3 metalloreductase,K10142,1
STING1,stimulator of interferon response cGAMP interactor 1,K12654,1
STK11,serine/threonine kinase 11,K07298,1
STN1,STN1 subunit of CST complex,K23312,1
STRADA,STE20 related adaptor alpha,K08271,1
STT3A,STT3 oligosaccharyltransferase complex catalytic subunit A,K07151,1
STT3B,STT3 oligosaccharyltransferase complex catalytic subunit B,K07151,1
SUFU,SUFU negative regulator of hedgehog signaling,K06229,1
TAC3,tachykinin precursor 3,K05240,1
TACR3,tachykinin receptor 3,K04224,1
TARDBP,TAR DNA binding protein,K23600,1
TAT,tyrosine aminotransferase,K00815,1
TBC1D7,TBC1 domain family member 7,K20396,1
TBK1,TANK binding kinase 1,K05410,1
TBX6,T-box transcription factor 6,K10180,1
TCF3,transcription factor 3,K09063,1
TDP1,tyrosyl-DNA phosphodiesterase 1,K10862,1
TERC,telomerase RNA component,K22183,1
TERT,telomerase reverse transcriptase,K11126,2
TF,transferrin,K14736,1
TFE3,transcription factor binding to IGHM enhancer 3,K09105,2
TFR2,transferrin receptor 2,K23910,1
TG,thyroglobulin,K10809,1
TGFA,transforming growth factor alpha,K08774,1
TGFB1,transforming growth factor beta 1,K13375,1
TGFB2,transforming growth factor beta 2,K13376,1
TGFB3,transforming growth factor beta 3,K13377,1
TGFBR1,transforming growth factor beta receptor 1,K04674,2
TGFBR2,transforming growth factor beta receptor 2,K04388,3
TH,tyrosine hydroxylase,K00501,1
THBD,thrombomodulin,K03907,1
THPO,thrombopoietin,K06854,1
THRA,thyroid hormone receptor alpha,K05547,1
THRB,thyroid hormone receptor beta,K08362,1
TICAM1,TIR domain containing adaptor molecule 1,K05842,1
TINF2,TERF1 interacting nuclear factor 2,K11112,1
TIRAP,TIR domain containing adaptor protein,K05403,1
TLR1,toll like receptor 1,K05398,1
TLR2,toll like receptor 2,K10159,1
TLR3,toll like receptor 3,K05401,1
TLR4,toll like receptor 4,K10160,1
TLR5,toll like receptor 5,K10168,1
TLR7,toll like receptor 7,K05404,1
TLX1,T cell leukemia homeobox 1,K09340,1
TNFAIP3,TNF alpha induced protein 3,K11859,1
TNFRSF10B,TNF receptor superfamily member 10b,K04722,1
TNFRSF1A,TNF receptor superfamily member 1A,K03158,1
TOP3A,DNA topoisomerase III alpha,K03165,1
TP53,tumor protein p53,K04451,1
TPH2,tryptophan hydroxylase 2,K00502,1
TPMT,thiopurine S-methyltransferase,K00569,1
TPO,thyroid peroxidase,K00431,1
TPP1,tripeptidyl peptidase 1,K01279,1
TRAF3,TNF receptor associated factor 3,K03174,1
TRAIP,TRAF interacting protein,K11985,1
TREX1,three prime repair exonuclease 1,K10790,1
TRHR,thyrotropin releasing hormone receptor,K04282,1
TRIP13,thyroid hormone receptor interactor 13,K22399,1
TRPC3,transient receptor potential cation channel subfamily C member 3,K04966,1
TSC1,TSC complex subunit 1,K07206,2
TSC2,TSC complex subunit 2,K07207,2
TSHB,thyroid stimulating hormone subunit beta,K05251,1
TSHR,thyroid stimulating hormone receptor,K04249,2
TUBA1A,tubulin alpha 1a,K07374,1
TUBA3D,tubulin alpha 3d,K07374,1
TUBA4A,tubulin alpha 4a,K07374,1
TUBA8,tubulin alpha 8,K07374,1
TUBB,tubulin beta class I,K07375,1
TUBB1,tubulin beta 1 class VI,K07375,1
TUBB2A,tubulin beta 2A class IIa,K07375,1
TUBB2B,tubulin beta 2B class IIb,K07375,1
TUBB3,tubulin beta 3 class III,K07375,1
TUBB4A,tubulin beta 4A class IVa,K07375,1
TUBB4B,tubulin beta 4B class IVb,K07375,1
TUBB6,tubulin beta 6 class V,K07375,1
TUBB8,tubulin beta 8 class VIII,K07375,1
TUBG1,tubulin gamma 1,K10389,1
TUBGCP2,tubulin gamma complex associated protein 2,K16569,1
TUBGCP4,tubulin gamma complex associated protein 4,K16571,1
TUBGCP6,tubulin gamma complex associated protein 6,K16573,1
TYR,tyrosinase,K00505,1
TYRP1,tyrosinase related protein 1,K00506,1
UBE2T,ubiquitin conjugating enzyme E2 T,K13960,1
UBQLN2,ubiquilin 2,K04523,1
UCHL1,ubiquitin C-terminal hydrolase L1,K05611,1
UGT1A1,UDP glucuronosyltransferase family 1 member A1,K00699,1
UNG,uracil DNA glycosylase,K03648,1
UPB1,beta-ureidopropionase 1,K01431,1
UROD,uroporphyrinogen decarboxylase,K01599,1
UROS,uroporphyrinogen III synthase,K01719,1
USP18,ubiquitin specific peptidase 18,K11846,1
USP8,ubiquitin specific peptidase 8,K11839,1
UVSSA,UV stimulated scaffold protein A,K23720,1
VAPB,VAMP associated protein B and C,K10707,1
VCP,valosin containing protein,K13525,1
VHL,von Hippel-Lindau tumor suppressor,K03871,2
VKORC1,vitamin K epoxide reductase complex subunit 1,K05357,1
VWF,von Willebrand factor,K03900,1
WNT1,Wnt family member 1,K03209,1
WNT10A,Wnt family member 10A,K01357,1
WNT10B,Wnt family member 10B,K01357,1
WNT3,Wnt family member 3,K00312,1
WNT5A,Wnt family member 5A,K00444,1
WNT7A,Wnt family member 7A,K00572,1
WRAP53,WD repeat containing antisense to TP53,K23314,1
WRN,WRN RecQ like helicase,K10900,1
WT1,WT1 transcription factor,K09234,1
XDH,xanthine dehydrogenase,K00106,1
XIAP,X-linked inhibitor of apoptosis,K04725,1
XPA,"XPA, DNA damage recognition and repair factor",K10847,1
XPC,"XPC complex subunit, DNA damage recognition and repair factor",K10838,1
XRCC1,X-ray repair cross complementing 1,K10803,1
XRCC2,X-ray repair cross complementing 2,K10879,1
XRCC3,X-ray repair cross complementing 3,K10880,1
XRCC4,X-ray repair cross complementing 4,K10886,1
XYLT1,xylosyltransferase 1,K00771,1
XYLT2,xylosyltransferase 2,K00771,1
ZBTB16,zinc finger and BTB domain containing 16,K10055,1
ZCCHC8,zinc finger CCHC-type containing 8,K13128,1
