gene_symbol,gene_description,ko_id,variant_entry_count
CBL,Cbl proto-oncogene,K04707,1
CCND1,cyclin D1,K04503,1
CCNE1,cyclin E1,K06626,1
CCT5,chaperonin containing TCP1 subunit 5,K09497,1
CD46,CD46 molecule,K04007,1
CD55,CD55 molecule (Cromer blood group),K04006,1
CD59,CD59 molecule (CD59 blood group),K04008,1
CDC45,cell division cycle 45,K06628,1
CDC6,cell division cycle 6,K02213,1
CDH1,cadherin 1,K05689,4
CDK4,cyclin dependent kinase 4,K02089,2
CDK5RAP2,CDK5 regulatory subunit associated protein 2,K16542,1
CDKN1B,cyclin dependent kinase inhibitor 1B,K06624,3
CDKN2A,cyclin dependent kinase inhibitor 2A,K06621,2
CDON,"cell adhesion associated, oncogene regulated",K20033,1
CDT1,chromatin licensing and DNA replication factor 1,K10727,1
CDX2,caudal type homeobox 2,K22234,1
CENPE,centromere protein E,K11498,1
CENPF,centromere protein F,K11499,1
CENPT,centromere protein T,K11512,1
CEP57,centrosomal protein 57,K16762,1
CFB,complement factor B,K01335,1
CFD,complement factor D,K01334,1
CFH,complement factor H,K04004,1
CFHR1,complement factor H related 1,K23815,1
CFHR3,complement factor H related 3,K23815,1
CFHR5,complement factor H related 5,K23817,1
CFI,complement factor I,K01333,1
CFP,complement factor properdin,K15412,1
CFTR,CF transmembrane conductance regulator,K05031,1
CHST14,carbohydrate sulfotransferase 14,K08105,1
CHST3,carbohydrate sulfotransferase 3,K01020,1
CHSY1,chondroitin sulfate synthase 1,K13499,1
CLTC,clathrin heavy chain,K04646,1
COLEC10,collectin subfamily member 10,K10065,1
COLEC11,collectin subfamily member 11,K10066,1
CP,ceruloplasmin,K13624,1
CPOX,coproporphyrinogen oxidase,K00228,1
CPS1,carbamoyl-phosphate synthase 1,K01948,1
CPT1A,carnitine palmitoyltransferase 1A,K08765,1
CPT2,carnitine palmitoyltransferase 2,K08766,1
CRPPA,CDP-L-ribitol pyrophosphorylase A,K21031,1
CSGALNACT1,chondroitin sulfate N-acetylgalactosaminyltransferase 1,K00746,1
CSNK2A1,casein kinase 2 alpha 1,K03097,1
CTC1,CST telomere replication complex component 1,K23311,1
CTCF,CCCTC-binding factor,K23195,1
CTNNB1,catenin beta 1,K02105,1
CYCS,"cytochrome c, somatic",K08738,1
CYP11A1,cytochrome P450 family 11 subfamily A member 1,K00498,1
CYP11B1,cytochrome P450 family 11 subfamily B member 1,K00497,1
CYP11B2,cytochrome P450 family 11 subfamily B member 2,K07433,2
CYP17A1,cytochrome P450 family 17 subfamily A member 1,K00512,1
CYP19A1,cytochrome P450 family 19 subfamily A member 1,K07434,2
CYP21A2,cytochrome P450 family 21 subfamily A member 2,K00513,1
CYP27A1,cytochrome P450 family 27 subfamily A member 1,K00488,1
CYP27B1,cytochrome P450 family 27 subfamily B member 1,K07438,1
CYP2A6,cytochrome P450 family 2 subfamily A member 6,K17683,1
CYP2B6,cytochrome P450 family 2 subfamily B member 6,K17709,1
CYP2C19,cytochrome P450 family 2 subfamily C member 19,K17721,1
CYP2C9,cytochrome P450 family 2 subfamily C member 9,K17719,1
CYP2D6,cytochrome P450 family 2 subfamily D member 6,K17712,1
CYP2R1,cytochrome P450 family 2 subfamily R member 1,K07419,1
CYP3A5,cytochrome P450 family 3 subfamily A member 5,K17690,1
CYP7B1,cytochrome P450 family 7 subfamily B member 1,K07430,1
DAB1,DAB adaptor protein 1,K20054,1
DBH,dopamine beta-hydroxylase,K00503,1
DBT,dihydrolipoamide branched chain transacylase E2,K09699,1
DCC,DCC netrin 1 receptor,K06765,1
DCLRE1C,DNA cross-link repair 1C,K10887,1
DCT,dopachrome tautomerase,K01827,1
DCTN1,dynactin subunit 1,K04648,1
DDB1,damage specific DNA binding protein 1,K10610,1
DDB2,damage specific DNA binding protein 2,K10140,1
DDC,dopa decarboxylase,K01593,1
DDIT3,DNA damage inducible transcript 3,K04452,1
DDOST,dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit,K12670,1
DDX11,DEAD/H-box helicase 11,K11273,1
DEPDC5,"DEP domain containing 5, GATOR1 subcomplex subunit",K20404,1
DHCR24,24-dehydrocholesterol reductase,K09828,1
DHCR7,7-dehydrocholesterol reductase,K00213,1
DHDDS,dehydrodolichyl diphosphate synthase subunit,K11778,1
DKC1,dyskerin pseudouridine synthase 1,K11131,1
DLAT,dihydrolipoamide S-acetyltransferase,K00627,1
DLD,dihydrolipoamide dehydrogenase,K00382,1
DLL3,delta like canonical Notch ligand 3,K06051,1
DLL4,delta like canonical Notch ligand 4,K06051,1
DMD,dystrophin,K10366,1
DNA2,DNA replication helicase/nuclease 2,K10742,1
DNASE1,deoxyribonuclease 1,K11994,1
DNASE1L3,deoxyribonuclease 1 like 3,K11995,1
DNASE2,"deoxyribonuclease 2, lysosomal",K01158,1
DNMT3B,DNA methyltransferase 3 beta,K17399,1
DOLK,dolichol kinase,K00902,1
DPAGT1,dolichyl-phosphate N-acetylglucosaminephosphotransferase 1,K01001,1
DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic",K00721,1
DPM2,"dolichyl-phosphate mannosyltransferase subunit 2, regulatory",K09658,1
DPM3,"dolichyl-phosphate mannosyltransferase subunit 3, regulatory",K09659,1
DPYD,dihydropyrimidine dehydrogenase,K00207,1
DPYS,dihydropyrimidinase,K01464,1
DSE,dermatan sulfate epimerase,K01794,1
DUOX2,dual oxidase 2,K13411,1
DUOXA2,dual oxidase maturation factor 2,K17232,1
DUSP6,dual specificity phosphatase 6,K21946,1
DVL1,dishevelled segment polarity protein 1,K02353,1
DVL3,dishevelled segment polarity protein 3,K02353,1
DYNC1H1,dynein cytoplasmic 1 heavy chain 1,K10413,1
DYNC1I2,dynein cytoplasmic 1 intermediate chain 2,K10415,1
DYNC2H1,dynein cytoplasmic 2 heavy chain 1,K10414,1
DYNC2LI1,dynein cytoplasmic 2 light intermediate chain 1,K10417,1
EBP,EBP cholestenol delta-isomerase,K01824,1
ECHS1,"enoyl-CoA hydratase, short chain 1",K07511,1
EGF,epidermal growth factor,K04357,1
EGFR,epidermal growth factor receptor,K04361,5
ENG,endoglin,K06526,1
ENO3,enolase 3,K01689,1
EPO,erythropoietin,K05437,1
EPOR,erythropoietin receptor,K05079,1
ERBB2,erb-b2 receptor tyrosine kinase 2,K05083,3
ERBB4,erb-b2 receptor tyrosine kinase 4,K05085,1
ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit",K10849,1
ERCC2,"ERCC excision repair 2, TFIIH core complex helicase subunit",K10844,1
ERCC3,"ERCC excision repair 3, TFIIH core complex helicase subunit",K10843,1
ERCC4,"ERCC excision repair 4, endonuclease catalytic subunit",K10848,1
ERCC5,"ERCC excision repair 5, endonuclease",K10846,1
ERCC6,"ERCC excision repair 6, chromatin remodeling factor",K10841,1
ERCC8,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit",K10570,1
EREG,epiregulin,K09784,1
ERG,ETS transcription factor ERG,K09435,2
ESCO2,establishment of sister chromatid cohesion N-acetyltransferase 2,K11268,1
ESR1,estrogen receptor 1,K08550,2
ETV1,ETS variant transcription factor 1,K09431,1
ETV5,ETS variant transcription factor 5,K15593,1
EVC,EvC ciliary complex subunit 1,K19605,1
EVC2,EvC ciliary complex subunit 2,K19608,1
EXT1,exostosin glycosyltransferase 1,K02366,1
EXT2,exostosin glycosyltransferase 2,K02367,1
EXTL3,exostosin like glycosyltransferase 3,K02370,1
EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit,K11430,1
F10,coagulation factor X,K01314,1
F11,coagulation factor XI,K01323,1
F12,coagulation factor XII,K01328,1
F13A1,coagulation factor XIII A chain,K03917,1
F13B,coagulation factor XIII B chain,K03906,1
F2,"coagulation factor II, thrombin",K01313,2
F5,coagulation factor V,K03902,2
F7,coagulation factor VII,K01320,1
F8,coagulation factor VIII,K03899,1
F9,coagulation factor IX,K01321,1
FAH,fumarylacetoacetate hydrolase,K01555,1
FAN1,FANCD2 and FANCI associated nuclease 1,K15363,1
FANCA,FA complementation group A,K10888,1
FANCB,FA complementation group B,K10889,1
FANCC,FA complementation group C,K10890,1
FANCD2,FA complementation group D2,K10891,1
FANCE,FA complementation group E,K10892,1
FANCF,FA complementation group F,K10893,1
FANCG,FA complementation group G,K10894,1
FANCI,FA complementation group I,K10895,1
FANCL,FA complementation group L,K10606,1
FANCM,FA complementation group M,K10896,1
FAS,Fas cell surface death receptor,K04390,1
FASLG,Fas ligand,K04389,1
FBN1,fibrillin 1,K06825,1
FCN3,ficolin 3,K10104,1
FDPS,farnesyl diphosphate synthase,K00787,1
FECH,ferrochelatase,K01772,1
FGA,fibrinogen alpha chain,K03903,1
FGB,fibrinogen beta chain,K03904,1
FGF17,fibroblast growth factor 17,K04358,1
FGF8,fibroblast growth factor 8,K04358,1
FGFR1,fibroblast growth factor receptor 1,K04362,2
FGFR2,fibroblast growth factor receptor 2,K05093,3
FGFR3,fibroblast growth factor receptor 3,K05094,3
FGG,fibrinogen gamma chain,K03905,1
FH,fumarate hydratase,K01679,1
FKRP,fukutin related protein,K19873,1
FKTN,fukutin,K19872,1
FLCN,folliculin,K09594,1
FLI1,"Fli-1 proto-oncogene, ETS transcription factor",K09436,1
FLT3,fms related receptor tyrosine kinase 3,K05092,2
FOXO1,forkhead box O1,K07201,1
FSHB,follicle stimulating hormone subunit beta,K05250,1
FTH1,ferritin heavy chain 1,K00522,1
FTL,ferritin light chain,K13625,1
FUS,FUS RNA binding protein,K13098,1
FZD2,frizzled class receptor 2,K02235,1
FZD6,frizzled class receptor 6,K02376,1
FZD7,frizzled class receptor 7,K02432,1
G6PC1,glucose-6-phosphatase catalytic subunit 1,K01084,1
G6PD,glucose-6-phosphate dehydrogenase,K00036,1
GAA,alpha glucosidase,K12316,1
GALC,galactosylceramidase,K01202,1
GALE,UDP-galactose-4-epimerase,K01784,1
GALK1,galactokinase 1,K00849,1
GALM,galactose mutarotase,K01785,1
GALNS,galactosamine (N-acetyl)-6-sulfatase,K01132,1
GALT,galactose-1-phosphate uridylyltransferase,K00965,1
GAMT,guanidinoacetate N-methyltransferase,K00542,1
GATM,glycine amidinotransferase,K00613,1
GBA1,glucosylceramidase beta 1,K01201,1
GBE1,"1,4-alpha-glucan branching enzyme 1",K00700,1
GCH1,GTP cyclohydrolase 1,K01495,1
GCLC,glutamate-cysteine ligase catalytic subunit,K11204,1
GCM2,glial cells missing transcription factor 2,K21598,2
GCSH,glycine cleavage system protein H,K02437,1
GDF2,growth differentiation factor 2,K05503,1
GDF5,growth differentiation factor 5,K04664,1
GDF6,growth differentiation factor 6,K20012,1
GH1,growth hormone 1,K05438,1
GHR,growth hormone receptor,K05080,1
GHRHR,growth hormone releasing hormone receptor,K04584,1
GINS1,GINS complex subunit 1,K10732,1
GLA,galactosidase alpha,K01189,2
GLB1,galactosidase beta 1,K12309,1
GLDC,glycine decarboxylase,K00281,1
GLE1,GLE1 RNA export mediator,K18723,1
GLI1,GLI family zinc finger 1,K16797,1
GLI2,GLI family zinc finger 2,K16798,1
GLI3,GLI family zinc finger 3,K06230,1
